asn,asn_name,domain_count
51167,"CONTABO, DE",29270
24940,"HETZNER-AS, DE",11185
133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",10923
14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",9870
13335,"CLOUDFLARENET - Cloudflare, Inc., US",8935
30886,"KOMITEX-AS, UA",3541
15169,"GOOGLE - Google LLC, US",2803
62371,"PROTON, CH",2713
12586,"ASGHOSTNET, DE",2467
16276,"OVH, FR",2096
8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",1789
16509,"AMAZON-02 - Amazon.com, Inc., US",1635
22612,"NAMECHEAP-NET - Namecheap, Inc., US",1580
396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",925
213230,"HETZNER-CLOUD2-AS, DE",719
8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",694
63023,"AS-GLOBALTELEHOST - GTHost, US",688
63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",677
13694,"XECUNET - Xecunet, LLC., US",651
47172,"GREENHOST, NL",576
14618,"AMAZON-AES - Amazon.com, Inc., US",568
198610,"BEGET-AS, RU",393
46475,"LIMESTONENETWORKS - Limestone Networks, Inc., US",375
9123,"TIMEWEB-AS, RU",344
47583,"AS-HOSTINGER, CY",327
212317,"HETZNER-CLOUD3-AS, DE",285
202053,"UPCLOUD, FI",262
398101,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",259
200107,"KL-EXT, CH",222
22843,"PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US",218
2639,"ZOHO-AS - ZOHO, US",210
31898,"ORACLE-BMC-31898 - Oracle Corporation, US",196
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",191
203446,"AS203446, GB",183
26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",176
13238,YANDEX - YANDEX LLC,175
60068,"CDN77 _, GB",169
20473,"AS-VULTR - The Constant Company, LLC, US",164
7506,"INTERQ GMO Internet Group, Inc., JP",155
151847,"FASTMAILPTYLTD-AS-AP Fastmail Pty Ltd, AU",147
213702,"QWINS-LTD QWINS AS-SET: ~ # AS213702:AS-CUSTOMERS, GB",137
197540,"NETCUP-AS netcup GmbH, DE",129
48707,"AS48707-OPS-, PL",127
9318,"SKB-AS SK Broadband Co Ltd, KR",127
26211,"PROOFPOINT-ASN-US-WEST - Proofpoint, Inc., US",126
200514,"KNOWNSRV, GB",124
132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",123
135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",111
48254,"TWENTYI, GB",109
714,"APPLE-ENGINEERING - Apple Inc., US",104
12025,"IMDC-AS12025 - Iron Mountain Data Center, US",101
15348,"TUCOWS - Tucows.com Co., CA",99
46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",87
34766,"LAYER23, NL",86
206938,"NESILDC, TR",86
197695,"AS-REG, RU",80
57043,"HOSTKEY-AS, NL",72
46261,"QUICKPACKET - QuickPacket, LLC, US",71
36352,"AS-COLOCROSSING - HostPapa, US",70
29873,"BIZLAND-SD - Newfold Digital, Inc., US",69
3308,"TELIANET-DENMARK, DK",69
