query,ad_domain,display_url,link,engine
chatgpt,chat.aichatapp.ai,chat.aichatapp.ai,https://www.bing.com/aclk?ld=e8hPZzjh2xlv_Tc0uVf9JhpDVUCUwQL-6JWhaPKxbVA3pTy6jFDthtqNoDJi3qw8bo2kEJ_uRFShE67X3ae-XROGliwZ6w82DutfyP_mSEZT5_sGQ-WCpw8Qeemta4hJnVfW_ZenGYpXaIzWd701X3SgoPUPs1WUq59fu9pN5ecXoQXU3oKQdkPsmsC5qsoY508-DngD_Ayct8iJRepovQK5uL8-A&u=aHR0cHMlM2ElMmYlMmZjaGF0LmFpY2hhdGFwcC5haSUyZm9uYm9hcmRpbmclM2ZsYW5kaW5nJTNkdjIlMjZ1dG1fc291cmNlJTNkYmluZyUyNnV0bV9tZWRpdW0lM2RjcGMlMjZ1dG1fY2FtcGFpZ24lM2Q0ODY4Nzg2NDUlMjZ1dG1fdGVybSUzZGNoYXRncHQlMjZ1dG1fYWRncm91cCUzZDEyMzgwNTEyOTM0NzkzNDAlMjZ1dG1fbmV0d29yayUzZG8lMjZ1dG1fZGV2aWNlJTNkYyUyNnV0bV9tYXRjaHR5cGUlM2RlJTI2dXRtX2xvY19waHlzaWNhbF9tcyUzZDQ2MzEzJTI2bXNjbGtpZCUzZGUyOGFkMWJiYTQ3MjFiZjA2M2Y1YjgzYmEyYjJjNjU1&rlid=e28ad1bba4721bf063f5b83ba2b2c655&ntb=1,bing
chatgpt,zerogpt.com,zerogpt.com,https://duckduckgo.com/y.js?ad_domain=zerogpt.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=2IuDfL71LEpDKA6CUKcyy4xg1jaqriWeLsrfblmDUojwZKIq6PRo4jiHdGJ_FMdFIsY6ePQTsnEG2xmVBo_8tb1FETKKQrXjTrjK8_9bOLvsh%2Ds4cdVXVOOoh92EF30SQN2O4bHa%2DfoFkqt7628PIcYKgMkbW18nNdeYNlN0m%2Dk.Vueo9D6UvWzTuM9HgPO1KA&eddgt=xTaX4MgaZDKLLLEsCzIOqA%3D%3D&rut=0f4094af355f1449b358ed41964d681968a4b5eac8953e512cb75f175d4b3dfc&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De8lKJE_qEWZECZ9vH5_PAjgzVUCUyYEpEboikN%2D8qp%2DNR9PbNGk2LgcKmr1IzX1_H8upgMsyJ4iL76kJfOUGmqwXNlfZEBzcib2hpR4D77PMqBaYWHerTGozn8wlPROC3OFoZ8BsMwXcDhauBx9zxxKC_q15Xif%2DinvpS1DzbTWCEYpkDxw%2Dkrim37DPtQtYhTtEQXuAEspE7BJ6bqpn4o2sgWTjd_bzsjqeK_44JtLsl9kwlbaQSRHfEC26_BToI7OyjIXfhlg1_MZfpErQ92Y%2DFu0%2DWzTae1je7E_NQSAeBe7vOuEuotQtkRFD3sm21z2ezJRPPWv9JTqr6ICrg%2DbBDZRZVyfcchxYKdwiXFJT5HLfVStXhdQ32ymOOWXolT1A_VctmVrNSKHj1jZ1zdQJcG8zw3shwafcTcgzmOhKd5vvzR6rOPBOuVZAxTbKxe7BZpPQbAz1vWxub9rjols1hxecw80deg7O54BreL3J%2D8XNmOpZKSuhkCpwS17Euoeb%2D69uH7IcsTcbvGgmd3A_M_eMVyBGRfwN%2Dsw5UygRPdZ8gba9W1bVPtUPftSNHSb3sRviqo4FtUBqMmxdUrK_ApJqFHTbzeCuVpEONTLM38Ns2UYHTCeD4jqcR1fQ5pZWPNHeayFDwf%2DVMp6JjIG34_uZny%2D6Y1f2zsjT69U5zaMpvEd6nFH70%2DaBO3mKNGaPJGv5XFk5VHMEpoGseTzHbM8nccitvxMJ9YRcPB8YhPSjKHBkrrYH6q7aPD0TQT2iuRf8bpqMWWfiTmWd%2DIA9qqcDo%26u%3DaHR0cHMlM2ElMmYlMmZ3d3cuemVyb2dwdC5jb20lMmYlM2ZyJTNkZ3dvcmRzJTI2bXNjbGtpZCUzZDM4ZmE4MDA2YTMwNDE1Zjk5ZWYxZTk4NmE1YzA4Mzll%26rlid%3D38fa8006a30415f99ef1e986a5c0839e&vqd=4-156746691087214351888705231787138220386&iurl=%7B1%7DIG%3D44EAE9CADEE34BD989E3F8D9B4713FE7%26CID%3D3BA1DEB650CA60CC3445C842510E61B5%26ID%3DDevEx%2C5046.1,duckduckgo
chatgpt,5350.xg4ken.com,5350.xg4ken.com,https://duckduckgo.com/y.js?ad_domain=microsoft.com&ad_provider=bingv7aa&ad_type=txad&click_metadata=%2DTlqDXDVMKwR7ra4VbnpX71ft42jW7eI8r276rA6080l4UeHVRuy%2DLYx2HXSMTuDFwnqDi3iYVLBM0moDHFNFNvNxeHw49kDuf4IybVgQQr_uimqkcK5E7__knOQ7_XPDyASBkaubSLTPlpMwdDrNZr2K38y%2DA1hnts02iuaNQA.7X%2DMwBkHB8YIPwebQAh3OQ&eddgt=xTaX4MgaZDKLLLEsCzIOqA%3D%3D&rut=df3cb81701b8ccd67eaf8a742eecbb3b4bd76ef4636219bb0a0342725d0ff273&u3=https%3A%2F%2Fwww.bing.com%2Faclick%3Fld%3De88eBIAmtfCb9CBBs15L9xFzVUCUyCM_kRW7QiVhq7L6GRR3Jq46SMMsc4T27_0k7w2S0WtCF2SYavh50jW2iZpfGxXHSVsVRyO6K_WI9oNliJQ9yGwnaje4auN2cwOlAeqPAURcy8esD7ICuLt5WHKkVFsYKfWuV8at_bn%2DN6L_YZe9HROvvLtGTcNU4JUys5iZY38E03lhFo20e_O8BCM4smoMhsNeLwyskOgOlCoJs112w1NZcoUN5R7fxhNfdHjEVwaR3P1NiexLzXP3qniu5F06sQaWMRYMhUtDJr2W3clZvU80xs5HAqmRAZG5J2st8FuDBIJqKWEhiXNcKex2F4wETFUB2W4JiXx542PiH0SIzH_mGNkkgU09L0Kpb7c9VrZ3cDV22xgSyrv60CCARDTKoe5hbChzfqjeJe3n2G0MKDTeuarixYTf78z7bFTcEJp4xnnvexOsPdKXpDzwdIq3CuPuYfpg%2D5liq9COrdsCoF6GsfuM4VdlhjEiDVwEZtNl00GC%2D2PpbCKqoYF4iil7OcXI7cT3hgjnZC68bKxZlBdCdsgVqRcakCnTzuFtx5WhE0WFrj5MvhfhWPEPz0CoM8g%2DPSWxIP9kaY435uFXWaykc_sm9CpX4w_sG83mF4mfB%2DwJoP37D8L3pChg3bK3MyL7KgJwjh7bz_PJ_i1WnmQu5KqoO6URDMvW0t7zwfBw5UT2aPrk9n93BhN3t9Uhqa5GgjKwl2hWfDbZK6nU7r_AEfKTxkWD%2DF%2DtJSyi6TlBDdacfcXtdufjbZml9UnTE%26u%3DaHR0cHMlM2ElMmYlMmY1MzUwLnhnNGtlbi5jb20lMmZ0cmslMmZ2MSUzZnByb2YlM2Q0NjclMjZjYW1wJTNkMTcxODgxJTI2a2N0JTNkbXNuJTI2a2NoaWQlM2QxNDAxNzM2ODklMjZjcml0ZXJpYWlkJTNka3dkLTc5NDQwMzI5Mjk3MjA1JTNhbG9jLTE5MCUyNmNhbXBhaWduaWQlM2Q1OTAyNzQwNTclMjZsb2NwaHklM2QxMDA5MzUlMjZhZGdyb3VwaWQlM2QxMjcxMDM3MTA0MTcwNjAyJTI2Y2lkJTNkNzk0Mzk5MjQ2MzI5MDUlMjZrZHYlM2RjJTI2a2V4dCUzZCUyNmtwZyUzZCUyNmtwaWQlM2QlMjZxdWVyeVN0ciUzZGNoYXRncHQlMjZ1cmwlM2RodHRwJTNhJTJmJTJmY29waWxvdC5taWNyb3NvZnQuY29tJTJmJTNmZm9ybSUzZE1NMTRDWCUyNmVmX2lkJTNkX2tfZWNhYWVkZmE5MDZlMTMxNzQwMTg4NDdhOTZhYTU1ZWJfa18lMjZPQ0lEJTNkQUlEY21tbjAwa282ZTBfU0VNX19rX2VjYWFlZGZhOTA2ZTEzMTc0MDE4ODQ3YTk2YWE1NWViX2tfJTI2bXNjbGtpZCUzZGVjYWFlZGZhOTA2ZTEzMTc0MDE4ODQ3YTk2YWE1NWVi%26rlid%3Decaaedfa906e13174018847a96aa55eb&vqd=4-284287324924671661136376951126668080945&iurl=%7B1%7DIG%3D44EAE9CADEE34BD989E3F8D9B4713FE7%26CID%3D3BA1DEB650CA60CC3445C842510E61B5%26ID%3DDevEx%2C5051.1,duckduckgo
chatgpt,use.ai,use.ai,https://syndicatedsearch.goog/aclk?sa=L&pf=1&ai=DChsSEwjDvtu83LmSAxUNLtQBHZI_MlcYACICCAEQABoCb2E&co=1&ase=2&gclid=EAIaIQobChMIw77bvNy5kgMVDS7UAR2SPzJXEAAYASAAEgJ5TPD_BwE&cid=CAASuwHkaOHvGAJxmsWMh5IH1Vq5xGlKaedq626GuqA3KyamJgJTjK838Zhm2URX-nVJUe5PG6Ia8attZd_WwJAQxf3k_pXT0hVQEvevb_GbRbSg_uckRPEjUA5Cuc75V74QglvSXf84AmtfZDqRK2d7q5x-YkKrDyBGr9d2-Wn6UTX-JG7B6VxQIPxvwa6CzRXDkGywP0dvzFwLbBLBmwgJ7PobAsHgj5yNmNw-LeL06VZ7Em5PHy0AP63dAHcM&cce=2&category=acrcp_v1_32&sig=AOD64_1cL-2ZMAcy7Mo1pe9FR6eAbiCkUA&q&nis=4&adurl=https://use.ai/chat?model%3Dgpt-5%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DUS-EN-Desktop-Search-UseAI%26utm_campaign_id%3D23140728373%26utm_adgroup%3DUS-EN-ChatGPT-Generic-Exact%26utm_adgroup_id%3D190910958843%26utm_term%3Dchatgpt%26utm_match_type%3De%26utm_content%3D791510715510%26utm_content_id%3D791510715510%26utm_funnel%3D%26partner%3DWM%26id%3DZ29vZ2xlfGNwY3x7X2NhbXBhaWdufXx7a2V5d29yZH18e2NyZWF0aXZlfXx8e2FkZ3JvdXBpZH18e19hZGdyb3VwfXx7Y3JlYXRpdmV9%26url%3Dhttps://use.ai/chat%253Fmodel%253Dgpt-5%26gad_source%3D5%26gad_campaignid%3D23140728373%26gclid%3DEAIaIQobChMIw77bvNy5kgMVDS7UAR2SPzJXEAAYASAAEgJ5TPD_BwE,syndicated
chatgpt,chat.chatbot.app,chat.chatbot.app,https://syndicatedsearch.goog/aclk?sa=L&pf=1&ai=DChsSEwj4kN283LmSAxUhUH8AHW71O3UYACICCAEQARoCb2E&co=1&ase=2&gclid=EAIaIQobChMI-JDdvNy5kgMVIVB_AB1u9Tt1EAAYAiAAEgIp-_D_BwE&cid=CAASuwHkaN20y5joT-FWd8HAOwqdRnDkEeql58eUoPswyi7gvu_L2ACxdTzoWXh_gqRpBVQ7pqLlEB_j_6opmWXq0nfHX8duG_SWH97XAxL90vofyZ6EsWPOL5mutkoAQE8MSnRyMupM5QQm2Kev_auPcxRSvHyeyIdgRd-Vvd_gh7UpwMTzMd5Rkt_H9ysMfVJoXnNzw1CjoyQ7lpx-W4it4ZTX8I2co8OqHP3W-hUSBX5iCbC0VLE1tDDXUy8b&cce=2&category=acrcp_v1_32&sig=AOD64_0uf7bWxwjAQ72U_e64OZgY3FXcIQ&q&nis=4&adurl=https://chat.chatbot.app/gpt5?utm_source%3DGoogleAds%26utm_medium%3Dcpc%26utm_campaign%3D%7Bcampaign%7D%26utm_id%3D23307126400%26utm_term%3D194927817531%26utm_content%3D785740161256%26gad_source%3D5%26gad_campaignid%3D23307126400%26gclid%3DEAIaIQobChMI-JDdvNy5kgMVIVB_AB1u9Tt1EAAYAiAAEgIp-_D_BwE,syndicated
chatgpt,askgpt.app,askgpt.app,https://syndicatedsearch.goog/aclk?sa=L&ai=DChsSEwi3_d283LmSAxUhJdQBHWbhO34YACICCAEQAhoCb2E&co=1&ase=2&gclid=EAIaIQobChMIt_3dvNy5kgMVISXUAR1m4Tt-EAAYAyAAEgKGZvD_BwE&cid=CAASuwHkaIHrOeRe2UFfqMu5U3t843p6xwZUbVZaJzfZJ4oulv6m60G4E-Hi9RM7iLeE5yxO-Ju-uRUHTaj4U9Kox17gMvJHu9M05CiPq9S70ZZymWSQwYD8KBvGNH2_NIvNK6mihsCOHenIwgFwBByC7SPrvWbW_kgC9897KYzJmv-aPHteg6ZsyFv1Ej6tN2wpwAhJjHLECA3-A1PsyW5R5cc33ZfDGprvc82rZcwkF9DN5Fox9ogr8BvxRmPx&cce=2&category=acrcp_v1_32&sig=AOD64_27kq6pkmk-13QL5Om1GJ8qpJQezg&q&nis=4&adurl=https://askgpt.app/onboarding?utm_source%3Dgoogle%26utm_medium%3Dcpc%26campaign_id%3D23512767526%26adgroup_id%3D191066418926%26ad_id%3D794766597312%26utm_term%3Dchatgpt%26utm_matchtype%3De%26utm_network%3Ds%26utm_device%3Dc%26utm_devicemodel%3D%26utm_click%3D%7Bgclid%7D%26gad_source%3D5%26gad_campaignid%3D23512767526,syndicated
chatgpt,use.ai,use.ai,https://syndicatedsearch.goog/aclk?sa=L&pf=1&ai=DChsSEwi5lvG-3LmSAxVmK9QBHW0yCgMYACICCAEQABoCb2E&co=1&ase=2&gclid=EAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYASAAEgLEx_D_BwE&cid=CAASuwHkaPdkYNeRhXNyQU_SqSezi1dHK5JdAw93ydDGFC1l_YYC6jfA4r3iyvkko3rJ9YwGg4js3JEAkdXNbk76tpMIczLoB6QjSfx-HXNc9-SYLNz0ABp9rNPZGkGa1tkKxBS3eTUsc-YUxMv8r2tQfZXF4_zHnOOwGFNG74zkQWDbqOx4MdEfVgJnXmr8xEn3q-ofU0Ut5M9UQLDZn9bjOdYQ8wcDMq_MC6hLQib9wyD1UmqL2F06Ne6aT-z_&cce=2&category=acrcp_v1_32&sig=AOD64_0Ow0P9TYVDwxS-IhxyTIXyd4-6Tw&q&nis=4&adurl=https://use.ai/chat?model%3Dgpt-5%26utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DUS-EN-Desktop-Search-UseAI%26utm_campaign_id%3D23140728373%26utm_adgroup%3DUS-EN-ChatGPT-Generic-Exact%26utm_adgroup_id%3D190910958843%26utm_term%3Dchatgpt%26utm_match_type%3De%26utm_content%3D791510715510%26utm_content_id%3D791510715510%26utm_funnel%3D%26partner%3DWM%26id%3DZ29vZ2xlfGNwY3x7X2NhbXBhaWdufXx7a2V5d29yZH18e2NyZWF0aXZlfXx8e2FkZ3JvdXBpZH18e19hZGdyb3VwfXx7Y3JlYXRpdmV9%26url%3Dhttps://use.ai/chat%253Fmodel%253Dgpt-5%26gad_source%3D5%26gad_campaignid%3D23140728373%26gclid%3DEAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYASAAEgLEx_D_BwE,adsenseads
chatgpt,chaton.ai,chaton.ai,https://syndicatedsearch.goog/aclk?sa=L&ai=DChsSEwi5lvG-3LmSAxVmK9QBHW0yCgMYACICCAEQBRoCb2E&co=1&ase=2&gclid=EAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYBCAAEgK5l_D_BwE&cid=CAASuwHkaPdkYNeRhXNyQU_SqSezi1dHK5JdAw93ydDGFC1l_YYC6jfA4r3iyvkko3rJ9YwGg4js3JEAkdXNbk76tpMIczLoB6QjSfx-HXNc9-SYLNz0ABp9rNPZGkGa1tkKxBS3eTUsc-YUxMv8r2tQfZXF4_zHnOOwGFNG74zkQWDbqOx4MdEfVgJnXmr8xEn3q-ofU0Ut5M9UQLDZn9bjOdYQ8wcDMq_MC6hLQib9wyD1UmqL2F06Ne6aT-z_&cce=2&category=acrcp_v1_32&sig=AOD64_0IuAcqmAI5usKiz-lg75LPp9gtYA&q&nis=4&adurl=https://chaton.ai/web_16/?utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DGA%2520%7C%2520ChatOn%2520%7C%2520Web%2520%7C%2520US%2520%7C%2520Search%2520%7C%2520Main%2520%7C%2520CPA%2520%7C%252021.07.25%26utm_content%3D790390634574%26utm_term%3Dchatgpt%26campaign_id%3D22809916767%26adset_id%3D182425562323%26ad_id%3D790390634574%26gad_source%3D5%26gad_campaignid%3D22809916767,adsenseads
chatgpt,askgpt.app,askgpt.app,https://syndicatedsearch.goog/aclk?sa=L&ai=DChsSEwi5lvG-3LmSAxVmK9QBHW0yCgMYACICCAEQAhoCb2E&co=1&ase=2&gclid=EAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYAyAAEgIUCPD_BwE&cid=CAASuwHkaPdkYNeRhXNyQU_SqSezi1dHK5JdAw93ydDGFC1l_YYC6jfA4r3iyvkko3rJ9YwGg4js3JEAkdXNbk76tpMIczLoB6QjSfx-HXNc9-SYLNz0ABp9rNPZGkGa1tkKxBS3eTUsc-YUxMv8r2tQfZXF4_zHnOOwGFNG74zkQWDbqOx4MdEfVgJnXmr8xEn3q-ofU0Ut5M9UQLDZn9bjOdYQ8wcDMq_MC6hLQib9wyD1UmqL2F06Ne6aT-z_&cce=2&category=acrcp_v1_32&sig=AOD64_0I5sKyTxH6saMaMVifIGbT58c8uA&q&nis=4&adurl=https://askgpt.app/ai/direct?utm_source%3Dgoogle%26utm_medium%3Dcpc%26campaign_id%3D23512767529%26adgroup_id%3D191066419566%26ad_id%3D794795937580%26utm_term%3Dchatgpt%26utm_matchtype%3De%26utm_network%3Ds%26utm_device%3Dc%26utm_devicemodel%3D%26utm_click%3D%7Bgclid%7D%26gad_source%3D5%26gad_campaignid%3D23512767529,adsenseads
chatgpt,chat.chatbot.app,chat.chatbot.app,https://syndicatedsearch.goog/aclk?sa=L&pf=1&ai=DChsSEwi5lvG-3LmSAxVmK9QBHW0yCgMYACICCAEQARoCb2E&co=1&ase=2&gclid=EAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYAiAAEgKpxfD_BwE&cid=CAASuwHkaPdkYNeRhXNyQU_SqSezi1dHK5JdAw93ydDGFC1l_YYC6jfA4r3iyvkko3rJ9YwGg4js3JEAkdXNbk76tpMIczLoB6QjSfx-HXNc9-SYLNz0ABp9rNPZGkGa1tkKxBS3eTUsc-YUxMv8r2tQfZXF4_zHnOOwGFNG74zkQWDbqOx4MdEfVgJnXmr8xEn3q-ofU0Ut5M9UQLDZn9bjOdYQ8wcDMq_MC6hLQib9wyD1UmqL2F06Ne6aT-z_&cce=2&category=acrcp_v1_32&sig=AOD64_1dU2eZiVNWUmV51JvUKN5Ko_HjSw&q&nis=4&adurl=https://chat.chatbot.app/gpt5?utm_source%3DGoogleAds%26utm_medium%3Dcpc%26utm_campaign%3D%7Bcampaign%7D%26utm_id%3D23307126400%26utm_term%3D194927817531%26utm_content%3D785740161256%26gad_source%3D5%26gad_campaignid%3D23307126400%26gclid%3DEAIaIQobChMIuZbxvty5kgMVZivUAR1tMgoDEAAYAiAAEgKpxfD_BwE,adsenseads
