domain,source_type
0aloaltonetworks.com,typosquat
0aypal.com,typosquat
0kx.com,typosquat
0nc.com,typosquat
0okta.com,typosquat
0openai.com,typosquat
0paypal.com,typosquat
0pena1.com,typosquat
0penai.com,typosquat
0penal.com,typosquat
0phemex.com,typosquat
0pnc.com,typosquat
0progressive.com,typosquat
0racle.com,typosquat
0rogressive.com,typosquat
1-ctrl.com,typosquat
101blockchains.com,malvertising
1099policy.com,malvertising
10bestantivirusproviders.com,malvertising
10bestpayrollservices.com,malvertising
10bestpayrollsoftware.com,malvertising
11bank.com,typosquat
11quid.com,typosquat
12801671190202764.exelica.com,investigation
13.com,typosquat
1adobe.com,typosquat
1adp.com,typosquat
1airbnb.com,typosquat
1allstate.com,typosquat
1amazon.com,typosquat
1americanexpress.com,typosquat
1apple.com,typosquat
1azure.com,typosquat
1bank.com,typosquat
1bankofamerica.com,typosquat
1bitget.com,typosquat
1bitmart.com,typosquat
1block.xyz,typosquat
1bm.com,typosquat
1bmo.com,typosquat
1bn.com,typosquat
1brn.com,typosquat
1dm.com,typosquat
1dobe.com,typosquat
1dp.com,typosquat
1emailssupport.id,malvertising
1huntington.com,typosquat
1iquid.com,typosquat
1lbm.com,typosquat
1llstate.com,typosquat
1ntel.com,typosquat
1ong.com,typosquat
1password.com,malvertising
1pple.com,typosquat
1uno.com,typosquat
1uro.com,typosquat
2866.xg4ken.com,malvertising
2allstate.com,typosquat
2amazon.com,typosquat
2apple.com,typosquat
2azure.com,typosquat
2dp.com,typosquat
2e4d00dd-a66a-4003-9171-29a11cd475c4.random.pretreer.com,investigation
2endesk.com,typosquat
2fwww.desertsundesigns.com,investigation
2llstate.com,typosquat
2pple.com,typosquat
2zoom.us,typosquat
3.ai,typosquat
30.wireconnected.com,investigation
300dollardatarecovery.com,malvertising
32.hldrive.com,investigation
3351.xg4ken.com,malvertising
35.com,typosquat
3527.xg4ken.com,malvertising
365.plus,investigation
3c.ai,typosquat
3daistudio.com,malvertising
3etrade.com,typosquat
3exodus.com,typosquat
3hopify.com,typosquat
3lack.com,typosquat
3levancehealth.com,typosquat
3oom.us,typosquat
3potify.com,typosquat
3trade.com,typosquat
3wellsfargo.com,typosquat
3xodus.com,typosquat
