domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
7ber.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
7ellsfargo.com,FP-0007,Typosquat Evasion Infrastructure,90,TP-0012,dnstwist_match=True
7hc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
7num.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
7uber.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
7saa.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
8ber.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
8bm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
8hc.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
8intel.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
8num.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
aiebnb.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
8sbank.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
8t.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
8usaa.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
9bm.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
aiistate.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
9ibm.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
9kx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
ailstate.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
ailchimp.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
aiorbnb.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
9okx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
9okta.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
a-ericanexpress.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
a-llstate.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
