date,total,live,dead
2026-02-02,229021,69949,159072
2026-02-03,242697,74841,167856
2026-02-04,242755,75536,167219
2026-02-05,242947,74083,168864
2026-02-06,243240,75000,168240
2026-02-07,243405,74114,169291
2026-02-08,243477,74222,169255
2026-02-09,243679,75482,168197
2026-02-10,243728,75086,168642
2026-02-11,243871,74223,169648
2026-02-12,250399,74825,175574
2026-02-13,250509,75628,174881
2026-02-15,251569,78581,172988
2026-02-16,258924,83592,175332
2026-02-17,268778,95385,173393
2026-02-19,280648,106559,174089
2026-02-21,280770,107266,173504
2026-02-22,280801,106135,174666
2026-02-24,280460,107463,172997
2026-02-25,280677,106978,173699
2026-02-26,280664,107520,173144
2026-02-27,280797,106173,174624
2026-02-28,280873,106304,174569
2026-03-01,280937,106743,174194
2026-03-02,280925,102624,178301
2026-03-03,281010,102970,178040
2026-03-09,282233,106494,175739
2026-03-20,282523,105716,176807
2026-03-21,282543,106442,176101
2026-03-22,282593,105720,176873
2026-03-23,282641,105591,177050
2026-03-25,282617,106646,175971
2026-03-26,282737,105115,177622
2026-03-27,282763,106151,176612
2026-03-28,282778,106042,176736
2026-03-29,282765,107963,174802
2026-03-30,282792,103711,179081
2026-03-31,282269,101393,180876
2026-04-01,282954,102383,180571
2026-04-02,283017,103871,179146
2026-04-04,283206,106790,176416
2026-04-05,283610,105875,177735
2026-04-06,283473,105370,178103
2026-04-07,284019,106451,177568
2026-04-08,284260,108014,176246
2026-04-09,284272,104473,179799
2026-04-10,284442,106744,177698
2026-04-11,284600,108424,176176
2026-04-12,284758,107680,177078
2026-04-13,284707,109275,175432
2026-04-14,284892,108459,176433
2026-04-15,284893,104644,180249
2026-04-16,284879,107150,177729
2026-04-17,284954,106459,178495
2026-04-18,284956,106319,178637
2026-04-19,284988,103213,181775
2026-04-20,285079,105953,179126
2026-04-21,285177,107092,178085
2026-04-22,285217,105715,179502
2026-04-23,285309,106229,179080
2026-04-25,285472,105586,179886
2026-04-26,285577,106883,178694
2026-04-27,285586,106822,178764
2026-04-28,287085,106295,180790
2026-04-29,288127,108756,179371
2026-04-30,288163,109420,178743
2026-05-01,288522,106665,181857
2026-05-02,317134,135948,181186
2026-05-03,317677,137006,180671
2026-05-04,318269,136597,181672
2026-05-05,318825,133076,185749
2026-05-06,318893,134892,184001
2026-05-07,318879,134760,184119
2026-05-08,318967,133269,185698
2026-05-10,319116,134343,184773
2026-05-11,319178,127261,191917
2026-05-12,310781,124377,186404
2026-05-13,319315,130461,188854
2026-05-14,318200,126854,191346
2026-05-15,319476,127908,191568
2026-05-16,319466,132943,186523
2026-05-17,319470,129701,189769
2026-05-18,319553,127230,192323
2026-05-19,318421,125683,192738
2026-05-21,319593,116970,202623
2026-05-22,319618,127211,192407
2026-05-23,319653,129076,190577
2026-05-24,319824,128847,190977
2026-05-25,319797,129794,190003
2026-05-27,301317,113632,187685
2026-05-28,319942,126265,193677
2026-05-29,320002,124236,195766
2026-05-30,320035,127019,193016
2026-05-31,320043,124388,195655
2026-06-01,320264,122726,197538
2026-06-02,320301,123996,196305
2026-06-03,312710,112804,199906
2026-06-04,320355,125118,195237
2026-06-05,320474,123589,196885
2026-06-06,321866,122198,199668
2026-06-08,322094,121082,201012
2026-06-09,323719,119277,204442
2026-06-10,323909,118821,205088
2026-06-11,324415,120825,203590
2026-06-12,324516,121767,202749
2026-06-13,324568,123369,201199
2026-06-14,324600,120305,204295
2026-06-15,323404,119909,203495
2026-06-16,324294,118567,205727
2026-06-17,325418,121323,204095
2026-06-18,325494,115572,209922
2026-06-19,325493,119123,206370
2026-06-20,325565,116272,209293
2026-06-21,325638,122157,203481
2026-06-22,320344,119053,201291
2026-06-23,320656,118068,202588
2026-06-24,325970,122477,203493
2026-06-25,326031,126921,199110
2026-06-27,326196,125407,200789
2026-06-28,326394,118040,208354
2026-06-29,326512,127298,199214
2026-06-30,326572,124578,201994
2026-07-01,326560,119803,206757
2026-07-02,326217,117693,208524
2026-07-03,321535,116403,205132
2026-07-04,327135,119856,207279
2026-07-05,327720,121627,206093
2026-07-06,328339,120631,207708
2026-07-07,326701,118714,207987
2026-07-08,328440,116709,211731
2026-07-10,328516,122473,206043
2026-07-11,328592,123139,205453
2026-07-12,328690,119737,208953
2026-07-13,328661,125840,202821
2026-07-14,328675,121997,206678
2026-07-15,328943,122458,206485
2026-07-16,328856,119763,209093
2026-07-17,328912,120920,207992
2026-07-18,328981,123057,205924
2026-07-19,329082,122479,206603
2026-07-20,326238,118434,207804
2026-07-21,329173,118598,210575
