mx_host,asn,asn_name,domain_count
tinyhost.shop,51167,"CONTABO, DE",5113
mx1.simplelogin.co,62371,"PROTON, CH",2735
mail.wabblywabble.com,24940,"HETZNER-AS, DE",891
mail.wabblywabble.com,14061,"DIGITALOCEAN-ASN, US",879
emailfake.com,30886,"KOMITEX-AS, UA",1724
generator.email,30886,"KOMITEX-AS, UA",1187
aspmx.l.google.com,15169,"GOOGLE, US",1139
aero4.unstablemail.com,14061,"DIGITALOCEAN-ASN, US",1021
route1.mx.cloudflare.net,13335,"CLOUDFLARENET, US",904
route2.mx.cloudflare.net,13335,"CLOUDFLARENET, US",901
mx4.beavis99.com,24940,"HETZNER-AS, DE",860
route3.mx.cloudflare.net,13335,"CLOUDFLARENET, US",849
park-mx.above.com,133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",816
eforward1.registrar-servers.com,22612,"NAMECHEAP-NET, US",789
mail.anonaddy.me,47172,"GREENHOST, NL",585
mx1.improvmx.com,16509,"AMAZON-02, US",581
mx.plingest.com,63023,"AS-GLOBALTELEHOST, US",546
mail.h-email.net,24940,"HETZNER-AS, DE",258
mail.h-email.net,14061,"DIGITALOCEAN-ASN, US",168
mail.h-email.net,213230,"HETZNER-CLOUD2-AS, DE",98
mx.emlhub.com,24940,"HETZNER-AS, DE",504
mail.mailerhost.net,14061,"DIGITALOCEAN-ASN, US",226
mail.mailerhost.net,213230,"HETZNER-CLOUD2-AS, DE",220
smtp.google.com,15169,"GOOGLE, US",400
mx1.hostinger.com,13335,"CLOUDFLARENET, US",398
mx.spymail.one,24940,"HETZNER-AS, DE",395
mx1.beget.com,198610,"BEGET-AS, RU",393
mx37.mb5p.com,14061,"DIGITALOCEAN-ASN, US",386
mx.emltmp.com,24940,"HETZNER-AS, DE",384
mx.emlpro.com,24940,"HETZNER-AS, DE",372
mx1.forwardemail.net,60068,"CDN77 _, GB",201
mx1.forwardemail.net,14061,"DIGITALOCEAN-ASN, US",169
mxa.mailgun.org,396982,"GOOGLE-CLOUD-PLATFORM, US",357
mx.10mail.org,24940,"HETZNER-AS, DE",349
mx.dropmail.me,24940,"HETZNER-AS, DE",347
mx.freeml.net,24940,"HETZNER-AS, DE",328
mx1-hosting.jellyfish.systems,22612,"NAMECHEAP-NET, US",322
smtp.yopmail.com,16276,"OVH, FR",319
tempm.com,30886,"KOMITEX-AS, UA",319
mail.mailinator.com,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",292
