mx_host,domain_count,primary_asn
route1.mx.cloudflare.net,2852,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
route2.mx.cloudflare.net,2796,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
route3.mx.cloudflare.net,2731,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx1.simplelogin.co,2716,"AS62371 (PROTON, CH)"
mail.wabblywabble.com,1816,"AS24940 (HETZNER-AS, DE)"
tinyhost.shop,1762,"AS51167 (CONTABO, DE)"
emailfake.com,1689,"AS30886 (KOMITEX-AS, UA)"
smtp.yopmail.com,1277,"AS16276 (OVH, FR)"
generator.email,1252,"AS30886 (KOMITEX-AS, UA)"
aspmx.l.google.com,1145,"AS15169 (GOOGLE - Google LLC, US)"
aero4.unstablemail.com,1023,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx4.beavis99.com,895,"AS24940 (HETZNER-AS, DE)"
eforward1.registrar-servers.com,816,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
park-mx.above.com,806,"AS133618 (TRELLIAN-AS-AP Trellian Pty. Limited, AU)"
mail.anonaddy.me,582,"AS47172 (GREENHOST, NL)"
mx1.improvmx.com,566,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mail.h-email.net,517,"AS24940 (HETZNER-AS, DE)"
mx.emlhub.com,502,"AS24940 (HETZNER-AS, DE)"
smtp.google.com,466,"AS15169 (GOOGLE - Google LLC, US)"
mx156.hostedmxserver.com,436,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
localhost,425,
mx.plingest.com,411,"AS63023 (AS-GLOBALTELEHOST - GTHost, US)"
mx1.beget.com,398,"AS198610 (BEGET-AS, RU)"
mx.spymail.one,394,"AS24940 (HETZNER-AS, DE)"
mx1.hostinger.com,393,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx.emltmp.com,384,"AS24940 (HETZNER-AS, DE)"
mx.emlpro.com,371,"AS24940 (HETZNER-AS, DE)"
mx37.mb5p.com,365,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mxa.mailgun.org,356,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx.10mail.org,348,"AS24940 (HETZNER-AS, DE)"
mx.dropmail.me,345,"AS24940 (HETZNER-AS, DE)"
mx1.forwardemail.net,335,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
tempm.com,326,"AS30886 (KOMITEX-AS, UA)"
mx.freeml.net,326,"AS24940 (HETZNER-AS, DE)"
mx1-hosting.jellyfish.systems,310,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
