domain,dns_a,dns_aaaa,dns_mx,dns_ns,fuzzer,source_target
53.com,['2.19.153.101'],,['mxa-00642301.gslb.pphosted.com'],['a1-80.akam.net'],*original,53.com
532.com,['103.112.99.246'],,,['ns1.alidns.com'],addition,53.com
537.com,['103.238.226.248'],['!ServFail'],,['jim1.ddd.com'],addition,53.com
53y.com,['103.60.166.194'],,,['vip1.alidns.com'],addition,53.com
53d.com,['104.18.12.59'],['2606:4700::6812:c3b'],,['dns1.registrar-servers.com'],addition,53.com
53l.com,['104.18.26.126'],['2606:4700::6812:1a7e'],,['evan.ns.cloudflare.com'],addition,53.com
53s.com,['104.18.32.101'],['2606:4700:4404::ac40:9b9b'],,['ns1cnb.name.com'],addition,53.com
53a.com,['104.18.42.154'],['2606:4700:4401::ac40:9166'],,['wally.ns.cloudflare.com'],addition,53.com
53e.com,['104.18.8.98'],['2606:4700::6812:862'],,['a7.share-dns.com'],addition,53.com
53r.com,['104.21.48.254'],['2606:4700:3035::ac43:8be1'],,['carrera.ns.cloudflare.com'],addition,53.com
53h.com,['104.21.80.47'],['2606:4700:3036::6815:502f'],,['aldo.ns.cloudflare.com'],addition,53.com
53u.com,['104.21.94.169'],['2606:4700:3033::6815:5ea9'],,['mina.ns.cloudflare.com'],addition,53.com
533.com,['128.14.163.252'],,,['ns1.ename.net'],addition,53.com
53z.com,['13.248.169.48'],,[''],['ns1.afternic.com'],addition,53.com
53x.com,['13.93.181.185'],['!ServFail'],['mail1.namebrightmail.com'],['ns1.namebrightdns.com'],addition,53.com
536.com,['15.197.148.33'],,,['ns37.domaincontrol.com'],addition,53.com
535.com,['192.185.31.173'],,['mail.535.com'],['ns1.fivethreefive.com'],addition,53.com
53f.com,['199.96.59.95'],['2a03:2880:f102:183:face:b00c:0:25de'],,['dns13.hichina.com'],addition,53.com
530.com,['20.195.88.82'],,,['a10.share-dns.com'],addition,53.com
531.com,['204.236.26.4'],,,['kara.ns.cloudflare.com'],addition,53.com
53b.com,['205.178.189.129'],,,['ns-1418.awsdns-49.org'],addition,53.com
53g.com,['208.98.40.33'],,,['ns1.4.cn'],addition,53.com
53t.com,['47.96.3.15'],,['mxn.mxhichina.com'],['dns11.hichina.com'],addition,53.com
534.com,,,,['dns1.registrar-servers.com'],addition,53.com
538.com,,,,['rudy.ns.cloudflare.com'],addition,53.com
539.com,,,,['ns1.ename.net'],addition,53.com
53i.com,,,,['ns3.dns.com'],addition,53.com
53j.com,,,,['launch1.spaceship.net'],addition,53.com
53k.com,,,,['ns1.ename.net'],addition,53.com
53m.com,,,,['nucum.ns.cloudflare.com'],addition,53.com
53q.com,,,,['ns1.dyna-ns.net'],addition,53.com
53v.com,,,,['ns1.ename.net'],addition,53.com
53w.com,,,['53w-com.mx1.arsmtp.com'],['annalise.ns.cloudflare.com'],addition,53.com
53o.com,['64.190.63.111'],,,,addition,53.com
53p.com,['66.203.154.7'],,,['ns1.dnsip.com'],addition,53.com
53c.com,['8.218.242.28'],,['!ServFail'],['ns1.kmw.com'],addition,53.com
43.com,['104.247.81.99'],,['mail.h-email.net'],['ns1.parkingcrew.net'],bitsquatting,53.com
51.com,['116.131.226.149'],,,['ns3.dnsv4.com'],bitsquatting,53.com
13.com,,,,['ns05.domaincontrol.com'],bitsquatting,53.com
52.com,['146.19.248.51'],,,['ns7.alidns.com'],bitsquatting,53.com
57.com,['165.160.13.20'],,,['dns1.cscdns.net'],bitsquatting,53.com
u3.com,['8.217.237.150'],,['mailstore1.secureserver.net'],['ns21.domaincontrol.com'],bitsquatting,53.com
5s.com,['86.105.245.69'],,,['ns1.eftydns.com'],bitsquatting,53.com
58.com,['42.187.161.231'],['2402:4e00:1208:2100:0:9d0b:4476:cb8a'],['mxbiz1.qq.com'],['ns3.dnsv5.com'],homoglyph,53.com
5-3.com,['216.82.178.21'],,,['a1-80.akam.net'],hyphenation,53.com
453.com,['103.214.22.56'],,,['ns1.alidns.com'],insertion,53.com
563.com,['110.173.48.130'],,,,insertion,53.com
653.com,['23.160.212.102'],,,['v1s1.xundns.com'],insertion,53.com
t53.com,['54.83.37.243'],,,['ns01.avsupport.com'],insertion,53.com
543.com,,,,['pdns07.domaincontrol.com'],insertion,53.com
5r3.com,,,,['ns1.ename.net'],insertion,53.com
5t3.com,,,,['ns1.bodis.com'],insertion,53.com
r53.com,,,,['ns1.ename.net'],insertion,53.com
553.com,,,,['ns1.jixingdns.net'],repetition,53.com
54.com,['103.192.208.199'],,['mxbiz1.qq.com'],['f1g1ns1.dnspod.net'],replacement,53.com
r3.com,['104.18.2.254'],['2606:4700::6812:1dfc'],['r3-com.mail.protection.outlook.com'],['ignacio.ns.cloudflare.com'],replacement,53.com
5w.com,['15.197.148.33'],,,['ns67.domaincontrol.com'],replacement,53.com
t3.com,['45.223.102.77'],,['alt1.aspmx.l.google.com'],['ns-1175.awsdns-18.org'],replacement,53.com
5e.com,,,,['ns1.ename.net'],replacement,53.com
63.com,['8.8.8.8'],,,['ns1.jixingdns.net'],replacement,53.com
5z.com,['92.243.21.47'],['2001:4b98:dc0:45:216:3eff:fe21:9de0'],['mail.5z.com'],['ns6.gandi.net'],replacement,53.com
35.com,['116.198.219.52'],,,['ns1.35.net'],transposition,53.com
53com.com,['13.248.169.48'],,[''],['ns1.afternic.com'],various,53.com
adp.com,['170.146.93.56'],,['mxa-0006eb01.gslb.pphosted.com'],['a1-199.akam.net'],*original,adp.com
adpz.com,['103.224.182.243'],,['park-mx.above.com'],['4730.ns1.abovedomains.com'],addition,adp.com
adph.com,['103.224.182.246'],,['park-mx.above.com'],['421.ns1.abovedomains.com'],addition,adp.com
adps.com,['104.21.47.21'],['2606:4700:3031::ac43:aa0d'],['alt1.aspmx.l.google.com'],['bayan.ns.cloudflare.com'],addition,adp.com
adpt.com,['107.213.248.161'],,['adpt-com.mail.protection.outlook.com'],['ns01.domaincontrol.com'],addition,adp.com
adp8.com,['13.223.25.84'],['2600:1f18:4ae:c605:dd5d:b838:5816:d7fb'],,,addition,adp.com
adp9.com,['13.223.25.84'],['2600:1f18:4ae:c605:dd5d:b838:5816:d7fb'],,['nsg1.namebrightdns.com'],addition,adp.com
adp1.com,['13.248.169.48'],,[''],['ns1.afternic.com'],addition,adp.com
adp7.com,['13.248.169.48'],,,['ns1.afternic.com'],addition,adp.com
adpa.com,['13.248.169.48'],,[''],['ns1.yuwang.com'],addition,adp.com
