asn,asn_name,risk_score_domains
24940,"HETZNER-AS, DE",6139
14061,"DIGITALOCEAN-ASN, US",4391
30886,"KOMITEX-AS, UA",2260
13335,"CLOUDFLARENET, US",811
16276,"OVH, FR",706
15169,"GOOGLE, US",699
22612,"NAMECHEAP-NET, US",555
133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",548
8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",505
8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",422
213230,"HETZNER-CLOUD2-AS, DE",398
63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",383
47583,"AS-HOSTINGER, CY",362
212317,"HETZNER-CLOUD3-AS, DE",271
16509,"AMAZON-02, US",268
200107,"KL-EXT, CH",224
63023,"AS-GLOBALTELEHOST, US",190
396982,"GOOGLE-CLOUD-PLATFORM, US",178
14618,"AMAZON-AES, US",123
13238 208398,,116
7506,"INTERQ GMO Internet Group, Inc., JP",104
9318,"SKB-AS SK Broadband Co Ltd, KR",100
198610,"BEGET-AS, RU",94
48707,"AS48707-OPS-, PL",94
197540,"NETCUP-AS netcup GmbH, DE",89
3308,"TELIANET-DENMARK, SE",82
51167,"CONTABO, DE",77
34766,"LAYER23, NL",77
398101,"GO-DADDY-COM-LLC, US",76
26496,"AS-26496-GO-DADDY-COM-LLC, US",72
62371,"PROTON, CH",66
197695,"AS-REG, RU",63
31898,"ORACLE-BMC-31898, US",62
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",59
20473,"AS-VULTR, US",56
29182,"RU-JSCIOT, RU",55
2639,"ZOHO-AS, US",53
199524,"GCORE, LU",51
8495,"INTERNET_AG Frankfurt-Munich-Stuttgart-Amsterdam-London, DE",49
10439,"CARINET, US",47
46606,"UNIFIEDLAYER-AS-1, US",47
151847,"FASTMAILPTYLTD-AS-AP Fastmail Pty Ltd, AU",45
12025,"IMDC-AS12025, US",43
19318,"IS-AS-1, US",42
44094,"WEBHOST1-AS, RU",42
54290,"HOSTWINDS, US",41
48254,"TWENTYI, GB",37
9123,"TIMEWEB-AS, RU",35
15348,"TUCOWS, CA",35
36086,"TELX-LEGACY, US",34
135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",33
132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",31
36351,"SOFTLAYER, US",30
60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",29
714,"APPLE-ENGINEERING, US",29
35916,"MULTA-ASN1, US",26
29873,"BIZLAND-SD, US",26
40294,"CHARTER-40294-DC, US",26
3257,"GTT-BACKBONE GTT, US",25
29169,"GANDI-AS Domain name registrar - www.gandi.net, FR",24
9304,"HUTCHISON-AS-AP HGC Global Communications Limited, HK",23
36352,"AS-COLOCROSSING, US",23
34119,"WILDCARD-AS Wildcard UK Limited, GB",22
210079,"EUROBYTE, RU",22
60068,"CDN77 _, GB",22
6724,"STRATO STRATO AG, DE",21
47764,"VK-AS, RU",21
41079,"CF-GDA, PL",21
8860,"DELTA-BG-AS, BG",21
34788,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE",21
46261,"QUICKPACKET, US",20
19871,"NETWORK-SOLUTIONS-HOSTING, US",20
50599,"Autonomous System for Dataspace P.S.A., PL",19
214481,"WCZAPKOWICZ-AS as214481as-wczapkowicz Chunkserve Backbone Transit, PL",19
46475,"LIMESTONENETWORKS, US",19
27357,"RACKSPACE, US",18
40021,"CONTABO-40021, US",18
44486,"SYNLINQ synlinq.de, DE",17
7922,"COMCAST-7922, US",17
20857,"TRANSIP-AS Amsterdam, the Netherlands, NL",16
12876,"Online SAS, FR",16
44418,"BITDEFENDER-AS, RO",16
131965,"XSERVER Xserver Inc., JP",15
205111,"ZOHO-EU, NL",15
32491,"TUCOWS-3, CA",15
20068,"HAWKHOST, CA",15
29222,"INFOMANIAK-AS, CH",14
22843,"PROOFPOINT-ASN-US-EAST, US",13
36647,"YAHOO-GQ1, US",13
32475,"SINGLEHOP-LLC, US",13
202448,"MVPS www.mvps.net, CY",13
26666,"INTERSERVER-LAX, US",12
396949,"CLOUDWEBMANAGE-TX, US",12
19994,"RACKSPACE, US",11
12824,"HOMEPL-AS, PL",11
30447,"INFB2-AS, CA",11
39835,"GOETEL, DE",11
8622,"ISIONUK Team Blue Internet Services UK Ltd, GB",11
29838,"AMC, US",11
4766,"KIXS-AS-KR Korea Telecom, KR",11
31080,"O2-AS, PL",11
3842,"RAMNODE, US",11
22611,"INMOTION, US",10
24961,"MYLOC-AS IP Backbone of WIIT AG formerly myLoc managed IT AG, DE",10
33724,"BIZNESSHOSTING-DBA-VOLICO, US",10
42831,"UKSERVERS-AS UK Dedicated Servers, Hosting and Co-Location, GB",10
26101,"YAHOO-BF1, US",10
9009,"M247, RO",10
212772,"ADGUARD, CY",10
47544,"IQPL-AS, PL",10
43350,"NFORCE, NL",9
29802,"HVC-AS, US",9
55293,"A2HOSTING, US",9
36646,"YAHOO-NE1, US",9
42846,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",9
15967,"NETARTGROUP, PL",9
32244,"LIQUIDWEB, US",9
198068,"PAGM-AS, EE",9
2497,"IIJ Internet Initiative Japan Inc., JP",9
204601,"PODAON, NL",9
212477,"ROYALE-AS, NL",9
16686,"EDNS, CA",8
7393,"CYBERCON, US",8
207957,"SERVHOST-AS, GB",8
14670,"WHG-USE1, GB",8
6939,"HURRICANE, US",8
42427,"MIMECAST-UK, GB",8
