ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
1.1.1.1,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
100.24.208.97,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-25
101.99.94.36,dea_domains_probed.csv,AS45839,False,,False,,,2026-08-25
103.115.48.104,dea_domains_probed.csv,AS138968,False,,False,,,2026-08-25
103.116.38.195,dea_domains_probed.csv,AS140810,False,,False,,,2026-08-25
103.116.38.54,known_campaign_ips.txt,AS140810,False,,False,,,2026-08-23
103.12.148.113,dea_domains_probed.csv,AS152194,False,,False,,,2026-08-25
103.123.243.13,dea_domains_probed.csv,AS21859,False,,False,,,2026-08-25
103.14.100.24,dea_domains_probed.csv,AS400619,False,,False,,,2026-08-25
103.173.227.63,dea_domains_probed.csv,AS140826,False,,False,,,2026-08-25
103.183.198.28,dea_domains_probed.csv,,False,,False,,,2026-08-25
103.193.148.167,dea_domains_probed.csv,AS55933,False,,False,,,2026-08-25
103.194.105.19,dea_domains_probed.csv,AS138995,False,,False,,,2026-08-25
103.194.105.22,dea_domains_probed.csv,AS138995,False,,False,,,2026-08-25
103.201.131.207,dea_domains_probed.csv,AS3258,False,,False,,,2026-08-25
103.204.13.196,dea_domains_probed.csv,AS209242,False,,False,,,2026-08-25
103.224.182.211,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.212,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.214,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.239,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.242,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.243,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.244,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.246,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.247,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.248,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.250,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
103.224.182.251,dea_domains_probed.csv,AS133618,False,,False,,,2026-08-25
