domain,ip,shodan_ip,ports,vulns,tags,flame_tp_ids,hostnames,os,priority,reason
10betcasinomx.net,104.21.27.149,104.21.27.149,2096;2082;2083;2052;2053;2086;2087;2095;80;8880;8080;8443;443,,cdn,"TP-0036,TP-0051",www.smtp.breadloaf.com;breadloaf.com;corbusier.breadloaf.com,,0,"FLAME:TP-0036,TP-0051"
081430.xyz,172.67.177.230,172.67.177.230,8080;2082;2083;2052;2053;2086;2087;2095;80;8880;8443;443,,cdn,TP-0079,garden.pittsburghkids.org;fundacion.sener,,0,FLAME:TP-0079
0543sh.com,154.213.68.100,154.213.68.100,80,,,"TP-0032, TP-0049",,,0,"FLAME:TP-0032, TP-0049"
100bet.xyz,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
123books.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
1-tm.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
19216811.host,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
1934.net,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
1sja.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
1xbet-app-download-free.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
206963.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
2hand.xyz,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
2conventions.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
28174.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
2outlook.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
303.ai,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
333qp.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
2pair.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.education,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.black,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.toys,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.institute,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.equipment,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.exposed,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
3dlab.tech,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.furniture,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
401kinvestments.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
360.soccer,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
404box.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4annuities.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4advice.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4banking.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4backpain.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4charities.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4camping.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4cycling.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4computing.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4consultants.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4courses.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4bettergolf.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4dentists.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4diabetes.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4dresses.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4home.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4divorce.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4dogs.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4glasses.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4homesafety.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4exercise.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
4fitness.com,76.223.54.146,76.223.54.146,80;443,,cloud,,a904c694c05102f30.awsglobalaccelerator.com;www.wiki.diakon.com;stage.vespasoho.com,,0,FP-0009: IPIDEA Residential Proxy Network Infrastructure (conf: 80)
