ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS200651,,,Unknown,True,FlokiNET
AS39287,"ABSTRACT, FI",FI,Unknown,True,Njalla
AS50613,"THORDC-AS, IS",IS,Unknown,True,OrangeWebsite
AS51852,,,Unknown,True,PrivateAlps
AS00,,,Unknown,False,
AS1,"LVLT-1, US",US,Unknown,False,
AS10,"CSNET-EXT-AS, US",US,Unknown,False,
AS100,"FMC-CTC, US",US,Unknown,False,
AS10030,"CELCOMNET-AP Celcom Axiata Berhad, MY",MY,Unknown,False,
AS101,"WASH-NSF-AS, US",US,Unknown,False,
AS10174,,,Unknown,False,
AS102,,,Unknown,False,
AS10200,"TDL2L-AS-AP The Digital Lab 2007 Limited, NZ",NZ,Unknown,False,
AS10207,"INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU",AU,Unknown,False,
AS10297,,,Unknown,False,
AS103,,,Unknown,False,
AS10310,"YAHOO-1, US",US,Unknown,False,
AS104,"COLORADO-AS, US",US,Unknown,False,
AS10439,,,Unknown,False,
AS105,"MOT-MCD-AS, US",US,Unknown,False,
AS10532,,,Unknown,False,
AS106,,,Unknown,False,
AS107,,,Unknown,False,
AS108,"XEROX-AS, US",US,Unknown,False,
AS109,"CISCOSYSTEMS, US",US,Unknown,False,
AS10929,,,Unknown,False,
AS11,,,Unknown,False,
AS110,,,Unknown,False,
AS11042,"NTHL, US",US,Unknown,False,
AS111,"BOSTONU-AS, US",US,Unknown,False,
AS112,"AS112-PROJECT, US",US,Unknown,False,
AS11230,,,Unknown,False,
AS11235,"ITRONHOSTINGAS, US",US,Unknown,False,
AS11274,"ADHOST, US",US,Unknown,False,
AS113,"SCCNET-AS, US",US,Unknown,False,
AS11377,"SENDGRID, US",US,Unknown,False,
AS114,,,Unknown,False,
AS11427,,,Unknown,False,
AS115,"DNIC-AS-00115, US",US,Unknown,False,
AS11508,"AS-VULTR2, US",US,Unknown,False,
AS11588,"LAMBDA-BB, US",US,Unknown,False,
AS116,"TELCORDIA, US",US,Unknown,False,
AS117,,,Unknown,False,
AS118,"DNIC-AS-00118, US",US,Unknown,False,
AS11831,"ESECUREDATA, CA",CA,Unknown,False,
AS11878,,,Unknown,False,
AS119,"AMS-AS, US",US,Unknown,False,
AS11938,,,Unknown,False,
AS12,,,Unknown,False,
AS120,,,Unknown,False,
AS121,"DNIC-AS-00121, US",US,Unknown,False,
AS12179,,,Unknown,False,
AS12182,,,Unknown,False,
AS122,"UPMC-AS122, US",US,Unknown,False,
AS1221,"ASN-TELSTRA Telstra Limited, AU",AU,Unknown,False,
AS123,"LOGAIRCOMNET-AS, US",US,Unknown,False,
AS124,"DNIC-AS-00124, US",US,Unknown,False,
AS12417,"DHH-AS, HR",HR,Unknown,False,
AS125,,,Unknown,False,
AS12552,"GLOBALCONNECT-AS12552, SE",SE,Unknown,False,
AS1257,"TELE2, EU",EU,Unknown,False,
AS12586,"ASGHOSTNET, DE",DE,Unknown,False,
AS12617,"SOLIDO-NET Sentia Danmark AS, DK",DK,Unknown,False,
AS1267,,,Unknown,False,
AS128,,,Unknown,False,
AS12876,"Online SAS, FR",FR,Unknown,False,
