ASN,Name,Country
AS205007,"ESERVER-, RS",RS
AS8339,"KABSI-AS, AT",AT
AS5786,"UPRENET, PR",PR
AS348,"DNIC-ASBLK-00306-00371, US",US
AS20612,"SWISSIX, CH",CH
AS208476,"-Reserved AS-, ZZ",
AS39788,"DANNENBERG-AS, DE",DE
AS6112,"AUBURN, US",US
AS200533,"INITLAB, BG",BG
AS566,"SSC-299-Z-566, CA",CA
AS14061,"DIGITALOCEAN-ASN, US",US
AS6111,"FHIS, US",US
AS57494,"ADMAN-AS, RU",RU
AS1653,"SUNET SUNET Swedish University Network, EU",EU
AS20055,"AS-WHOLESAIL, US",US
AS35699,"ADAMOEU-AS Adamo Telecom Iberia S.A., ES",ES
AS21266,"EESNET-AS, RU",RU
AS14117,"Telefonica del Sur S.A., CL",CL
AS400754,"GO-DADDY-COM-LLC, US",US
AS47066,"PRGMR, US",US
AS3265,"XS4ALL-NL Amsterdam, NL",NL
AS393856,"WGELD-ASN, US",US
AS4855,"PI-ID-AS-AP Pacific Link Indonesia, ID",ID
AS20114,"KEATING, US",US
AS20395,"MEDFUSION-LEWISVILLE, US",US
AS38731,"VTDC-AS-VN Vietel - CHT Compamy Ltd, VN",VN
AS46844,"SHARKTECH, US",US
AS216127,"AS-NUXTCLOUD, GB",GB
AS27715,"Locaweb Servicos de Internet SA, BR",BR
AS317,"DNIC-ASBLK-00306-00371, US",US
AS2,"UDEL-DCN, US",US
AS23118,"SKYBEST, US",US
AS360,"DNIC-ASBLK-00306-00371, US",US
AS48900,"INFODATACENTER, BG",BG
AS10796,"TWC-10796-MIDWEST, US",US
AS394711,"KORGRID, US",US
AS3365,"SEESIP-1-3365, US",US
AS2675,"CDAGOVN, CA",CA
AS198440,"GIGANET, GB",GB
AS11351,"TWC-11351-NORTHEAST, US",US
AS58791,"GMOOSK-NET GMO Internet Group, Inc., JP",JP
AS9145,"EWETEL, DE",DE
AS20960,"TKTELEKOM-AS, PL",PL
AS3388,"UNM-AS, US",US
AS328,"DNIC-ASBLK-00306-00371, US",US
AS16652,"RISEUP, US",US
AS58073,"YISP-AS, NL",NL
AS2067,"THDOC reseau regional tres haut debit dOccitanie, EU",EU
AS7506,"INTERQ GMO Internet Group, Inc., JP",JP
AS19911,"SECURITYSERVICES, US",US
AS33885,"OWNIT Katarinavagen 15, SE",SE
AS611,"NECN-1-611, CA",CA
AS3,"MIT-GATEWAYS, US",US
AS13124,"A1BG_RSD, BG",BG
AS3635,"BEA, US",US
AS1136,"KPN KPN National, NL",NL
AS12496,"IDNET IDNet, GB",GB
AS1627,"TOWNEBANK, US",US
AS61493,"InterBS S.R.L. BAEHOST, AR",AR
AS31,"CIT, US",US
AS206,"CSC-IGN-AMER-AS206, US",US
AS14618,"AMAZON-AES, US",US
