IP,ASN,Name,BGP_Prefix,Country,Registry
45.95.169.104,AS211619,"MAXKO, HR",45.95.169.0/24,HR,
146.59.231.4,AS16276,"OVH, FR",146.59.0.0/16,FR,
144.31.120.166,AS213877,U1HOST-AS - u1host ltd,144.31.120.0/24,US,
185.220.101.190,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a12:a800:0002:0001:0091:0206:0169:0029,,,,,
81.17.28.95,AS51852,"PLI-AS, PA",81.17.16.0/20,PA,
2a12:a800:0002:0001:0045:0138:0016:0164,,,,,
5.104.84.183,AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",5.104.84.0/22,DE,
62.72.47.105,AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",62.72.44.0/22,DE,
2001:067c:0e60:0c0c:0192:0042:0116:0174,,,,,
185.183.157.214,AS197540,"NETCUP-AS netcup GmbH, DE",185.183.156.0/22,DE,
198.98.50.199,AS53667,"PONYNET - FranTech Solutions, US",198.98.48.0/20,US,
2a0b:f4c2:0000:0000:0000:0000:0000:0001,,,,,
185.244.192.175,AS197540,"NETCUP-AS netcup GmbH, DE",185.244.192.0/22,DE,
104.219.236.100,AS27176,"DATAWAGON - DataWagon LLC, US",104.219.236.0/24,US,
2607:5300:0201:3100:0000:0000:0000:35c5,,,,,
45.141.215.114,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.141.215.0/24,NL,
2a0b:f4c2:0002:0000:0000:0000:0000:0046,,,,,
192.42.116.202,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
196.196.200.100,AS41564,"AS41564, GB",196.196.200.0/24,SC,
2602:f6f6:0002:941d:0000:0000:0000:0001,,,,,
185.220.101.176,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2605:6400:0020:0be7:0000:0000:0000:0001,,,,,
125.253.56.119,AS38195,"SUPERLOOP-AS-AP Superloop, AU",125.253.0.0/18,AU,
2400:8907:0000:0000:2000:e8ff:fef5:9815,,,,,
2605:6400:0030:f5db:25a1:b884:ef2d:8818,,,,,
185.220.101.102,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2620:018c:0000:0192:0000:0000:00e0:0199,,,,,
93.94.51.138,AS215540,"GCS-AS, GB",93.94.51.0/24,IQ,
2a0b:f4c2:0001:0000:0000:0000:0000:0155,,,,,
23.184.48.78,AS40663,INTERNET-SPEECH-AND-PRIVACY-LLC - IncogNet LLC,23.184.48.0/24,US,
192.42.116.178,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
84.239.46.144,AS201308,"CASTLEGEM, RO",84.239.46.0/24,RO,
2a09:61c0:0000:0000:0000:0000:0000:0030,,,,,
2a06:1700:0004:00fa:0000:0000:a04e:55b9,,,,,
134.199.173.242,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",134.199.160.0/20,US,
205.185.124.176,AS53667,"PONYNET - FranTech Solutions, US",205.185.112.0/20,US,
2a01:05e0:0036:c311:0000:0000:0000:0001,,,,,
23.129.64.132,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
109.70.100.13,AS208323,"APPLIEDPRIVACY-AS, AT",109.70.100.0/24,AT,
192.42.116.197,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
23.129.64.131,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2620:018c:0000:0192:0000:0000:00e0:0200,,,,,
171.25.193.235,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
162.251.5.152,AS46841,"FORKNETWORKING - Fork Networking, LLC, US",162.251.0.0/21,US,
204.85.191.8,AS36850,"UNC-CH - University of North Carolina at Chapel Hill, US",204.85.191.0/24,US,
2a00:16b0:0001:0243:0000:0000:7012:a500,,,,,
31.184.236.104,AS198620,BRALU_JURJANU_BIEDRIBA-AS - Bralu Jurjanu biedriba,31.184.236.0/24,RU,
2a12:a800:0011:0001:0124:0198:0131:0062,,,,,
124.198.131.253,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",124.198.131.0/24,NL,
2a04:52c0:7000:0002:0000:0000:0000:0151,,,,,
2605:6400:0030:f174:0001:0002:0003:0004,,,,,
5.2.72.110,AS60404,"LITESERVER, NL",5.2.64.0/20,NL,
49.244.76.134,AS23752,NPTELECOM-NP-AS Nepal Telecommunications Corporation,49.244.64.0/20,NP,
2001:067c:0e28:0001:0000:0000:0000:0004,,,,,
152.53.150.12,AS197540,"NETCUP-AS netcup GmbH, DE",152.53.148.0/22,AT,
2a06:1700:0001:0108:0000:0000:b829:eee2,,,,,
192.76.160.138,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
68.183.200.189,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",68.183.192.0/20,US,
162.210.173.17,AS46841,"FORKNETWORKING - Fork Networking, LLC, US",162.210.172.0/22,US,
107.189.14.4,AS53667,"PONYNET - FranTech Solutions, US",107.189.14.0/24,US,
2a06:1700:0000:0012:0000:0000:0000:0002,,,,,
190.123.46.170,AS52284,"Panamaserver.com, PA",190.123.46.0/24,PA,
91.208.75.156,AS6718,"NAV NAV Communications, RO",91.208.75.0/24,RO,
198.50.212.160,AS16276,"OVH, FR",198.50.128.0/17,CA,
45.9.168.192,AS211619,"MAXKO, HR",45.9.168.0/24,HU,
139.99.172.11,AS16276,"OVH, FR",139.99.128.0/17,CA,
45.13.225.69,AS58087,"FLORIANKOLB, DE",45.13.225.0/24,DE,
5.255.97.184,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
205.185.117.149,AS53667,"PONYNET - FranTech Solutions, US",205.185.112.0/20,US,
159.203.7.160,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",159.203.0.0/20,US,
2a12:a800:0008:0001:0045:0094:0031:0228,,,,,
194.53.137.156,AS9009,"M247, RO",194.53.137.0/24,RO,
195.47.238.44,AS30893,"NOACKHOSTING-AS, SE",195.47.238.0/24,SE,
185.220.101.6,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
