domain,priority,reason,flame_tp_ids,vt_malicious_count,vt_total_engines,vt_reputation,vt_last_analysis_date
161betlogin.info,0,FLAME:TP-0013,TP-0013,0,93,0,2026-01-21
1cocosmail.co.cc,0,FLAME:TP-0013,TP-0013,5,93,0,2026-01-27
1gmail.com,0,FLAME:TP-0004,TP-0004,6,93,0,2026-02-25
1hotmail.com,0,FLAME:TP-0004,TP-0004,0,93,0,2025-12-15
1s4w6.anonaddy.com,0,"FLAME:TP-0002,TP-0012","TP-0002,TP-0012",,,,
1se.io,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",2,93,0,2026-02-14
1sec-mail.com,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",0,93,0,2026-02-11
1sec-mail.space,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",1,93,0,2025-09-06
1secemail.com,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",0,93,0,2025-11-20
1secmail.co,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",0,93,0,2026-01-20
1secmail.pro,0,"FLAME:TP-0002,TP-0012,TP-0019","TP-0002,TP-0012,TP-0019",0,93,0,2026-02-27
200m.website,0,FLAME:TP-0001,TP-0001,0,93,0,2026-02-21
29betlogin.info,0,FLAME:TP-0012,TP-0012,1,93,0,2026-02-17
2var.com,0,FLAME:TP-0001,TP-0001,0,93,0,2025-03-19
321betapp.net,0,FLAME:TP-0017,TP-0017,1,93,0,2026-01-31
32wim.info,0,FLAME:TP-0017,TP-0017,1,93,0,2026-01-30
333qp.com,0,FLAME:TP-0017,TP-0017,3,93,0,2026-01-03
333ua.com,0,FLAME:TP-0017,TP-0017,1,93,0,2026-01-29
365yahoo.com,0,FLAME:TP-0013,TP-0013,0,93,0,2023-10-28
37jlcom.info,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-27
37jlph.info,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-28
399betlogin.info,0,FLAME:TP-0013,TP-0013,0,93,0,2026-02-15
43.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,2,93,0,2026-02-21
51.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,-1,2026-02-28
603gmail.com,0,"FLAME:TP-0002,TP-0015","TP-0002,TP-0015",3,93,0,2026-02-05
67gmil.com,0,"FLAME:TP-0002,TP-0015","TP-0002,TP-0015",0,93,0,2026-01-03
68yahoo.com,0,"FLAME:TP-0002,TP-0015","TP-0002,TP-0015",6,93,0,2026-02-25
6961666.com,0,FLAME:TP-0015,TP-0015,0,93,0,2025-03-11
69win15.info,0,FLAME:TP-0017,TP-0017,1,93,0,2026-01-15
6l777betapp.com,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-24
7075plataforma.info,0,FLAME:TP-0017,TP-0017,0,93,0,2026-01-24
70bet2.net,0,FLAME:TP-0017,TP-0017,0,93,0,2026-01-12
711phcasino.com,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-15
715bet18.info,0,FLAME:TP-0017,TP-0017,1,93,0,2026-01-31
73999r.com,0,FLAME:TP-0017,TP-0017,2,93,0,2026-02-11
73betlogin.info,0,FLAME:TP-0017,TP-0017,0,93,0,2026-01-16
755gmail.com,0,"FLAME:TP-0001,TP-0002","TP-0001,TP-0002",10,93,0,2026-02-13
765betcom.net,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-03
76nbet.info,0,FLAME:TP-0017,TP-0017,0,93,0,2026-01-31
7go.info,0,FLAME:TP-0001,TP-0001,0,93,0,2026-02-27
adtgng.tmmad.com,0,FLAME:TP-0013,TP-0013,,,,
advantimals.com,0,FLAME:TP-0013,TP-0013,0,93,0,
affecting.org,0,"FLAME:TP-0002,TP-0012","TP-0002,TP-0012",6,93,0,2026-02-21
afferro-mining.com,0,FLAME:TP-0019,TP-0019,3,93,0,2026-02-10
africafrique.com,0,FLAME:TP-0019,TP-0019,1,93,0,2026-02-25
alajaybi.online,0,"FLAME:TP-0001,TP-0013","TP-0001,TP-0013",0,93,0,2026-01-20
albertsonthealley.com,0,FLAME:TP-0017,TP-0017,1,93,0,2026-02-10
alibaba4india.online,0,FLAME:TP-0019,TP-0019,0,93,0,2024-09-13
alicemchard.com,0,FLAME:TP-0017,TP-0017,0,93,0,2026-01-30
allcards.su,0,FLAME:TP-0013,TP-0013,0,93,0,2026-02-21
allopurinolrem.com,0,FLAME:TP-0017,TP-0017,0,93,0,2026-02-26
appie.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,6,93,-2,2026-02-26
athem.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,0,2025-11-08
binace.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 65),TP-0012,2,93,0,2026-02-02
blank.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,3,93,-59,2026-02-26
bxbs.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,2,93,0,2026-02-19
chise.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-01-27
cmail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,4,93,0,2026-02-27
dcinvestimentos.com.br,0,FP-0003: Crypto/Finance Fraud Co-hosting (conf: 70),TP-0017,0,93,0,
dt.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,0,93,0,2026-02-26
email.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,-3,2026-03-01
etoreo.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,4,93,0,2026-02-17
farmer.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,6,93,0,2026-03-01
farmersi.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,0,2025-09-09
g-mail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,1,93,0,2026-02-16
g.mail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 60),TP-0012,0,93,0,2026-02-28
gail.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-03-01
gamil.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012,1,93,0,2026-03-01
