ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
185.156.175.170,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achernar,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.172,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achernar,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.173,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achernar,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.174,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achernar,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.34,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achird,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.36,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achird,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.37,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achird,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.156.175.38,airvpn,confirmed,CH,Zurich,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,achird,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.104.184.42,airvpn,confirmed,DE,Frankfurt,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,adhara,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.104.184.44,airvpn,confirmed,DE,Frankfurt,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,adhara,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.104.184.45,airvpn,confirmed,DE,Frankfurt,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,adhara,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
185.104.184.46,airvpn,confirmed,DE,Frankfurt,openvpn,AS9009,"M247, RO",airvpn_api,2026-05-11,adhara,Public API,General VPN coverage; privacy-focused,unknown,,5,contextual,5,contextual,VPN-032,2026-05-07,2026-05-11,true
