ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
205.178.183.71,astrill,medium,,,exit,,,spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
185.108.128.200,astrill,medium,IE,,exit,AS30900,"WEBWORLD-AS - Sternforth Ltd. trading as WebWorld, IE",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
185.130.213.253,astrill,medium,RU,,exit,AS50867,"ORG-LVA15-AS - HOSTKEY B.V., NL",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
104.129.22.4,astrill,medium,US,,exit,AS36352,"AS-COLOCROSSING - HostPapa, US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
23.108.85.148,astrill,medium,US,,exit,AS27411,"LEASEWEB-USA-CHI - Leaseweb USA, Inc., US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
23.108.85.29,astrill,medium,US,,exit,AS27411,"LEASEWEB-USA-CHI - Leaseweb USA, Inc., US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
192.119.13.221,astrill,medium,CA,,exit,AS55081,"24SHELLS - 24 SHELLS, US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
104.129.16.80,astrill,medium,US,,exit,AS36352,"AS-COLOCROSSING - HostPapa, US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
38.170.181.141,astrill,medium,US,,exit,AS174,"COGENT-174 - Cogent Communications, LLC, US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
23.19.79.135,astrill,medium,US,,exit,AS395954,"LEASEWEB-USA-LAX - Leaseweb USA, Inc., US",spur_2024,2024-01-01,,Spur seed + RDAP validation + Shodan org,"PRIMARY DPRK (Mandiant, Microsoft, Spur, Unit 42, SecurityScorecard: UNC5267 + Lazarus)",egress,,20,strong,20,strong,VPN-002,2026-05-07,2026-06-04,true
