ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
96.44.128.166,expressvpn,high,US,,unknown,AS36352,"AS-COLOCROSSING - HostPapa, US",shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.212,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
104.237.53.205,expressvpn,high,US,,unknown,AS18450,"WEBNX - WebNX, Inc., US",shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
104.237.54.26,expressvpn,high,US,,unknown,AS18450,"WEBNX - WebNX, Inc., US",shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.92,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.13,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.66,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.117,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
102.165.41.210,expressvpn,high,,,unknown,,,shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
69.12.77.80,expressvpn,high,US,,unknown,AS36352,"AS-COLOCROSSING - HostPapa, US",shodan_org,2026-08-23,,Local cache + Gluetun mirror + Shodan org,DPRK confirmed (Mandiant: RGB ORB tunnels; Recorded Future: 16.1% NK user share),unknown,,12,contextual,20,strong,VPN-022,2026-08-23,2026-08-23,true
