ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
212.2.241.249,flowvpn,confirmed,US,,wireguard,AS212047,"CIVO-USA, GB",flowvpn_dns,2026-05-21,us.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-14,2026-05-21,true
194.135.33.239,flowvpn,confirmed,DE,,wireguard,AS48207,"GLBBULUTTEKNOLOJISI-AS, TR",flowvpn_dns,2026-05-21,de.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
185.10.17.131,flowvpn,confirmed,FR,,wireguard,AS35661,"VIRTUASYS-EU Lift weight. Push bytes. Never drop. Repeat., FR",flowvpn_dns,2026-05-21,fr.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
185.76.243.138,flowvpn,confirmed,NL,,wireguard,AS215540,"GCS-AS, GB",flowvpn_dns,2026-05-21,nl.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
104.167.228.131,flowvpn,confirmed,CA,,wireguard,AS835,"GOCODEIT-EDGE - GoCodeIT Inc, CA",flowvpn_dns,2026-05-21,ca.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
103.180.192.48,flowvpn,confirmed,AU,,wireguard,AS34927,"IFOG-GMBH, CH",flowvpn_dns,2026-05-21,au.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
77.93.89.98,flowvpn,confirmed,SG,,wireguard,AS63150,"BAGE - BAGE CLOUD LLC, US",flowvpn_dns,2026-05-21,sg.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
77.93.89.228,flowvpn,confirmed,SG,,wireguard,AS63150,"BAGE - BAGE CLOUD LLC, US",flowvpn_dns,2026-05-21,sg.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
77.93.89.167,flowvpn,confirmed,SG,,wireguard,AS63150,"BAGE - BAGE CLOUD LLC, US",flowvpn_dns,2026-05-21,sg.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
77.93.89.77,flowvpn,confirmed,SG,,wireguard,AS63150,"BAGE - BAGE CLOUD LLC, US",flowvpn_dns,2026-05-21,sg.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
95.164.5.117,flowvpn,confirmed,BR,,wireguard,AS209847,"THE, NL",flowvpn_dns,2026-05-21,br.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
163.227.196.49,flowvpn,confirmed,MX,,wireguard,AS17497,"LGHL-AS-AP Liasail Global Hongkong Limited, HK",flowvpn_dns,2026-05-21,mx.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
45.132.235.179,flowvpn,confirmed,SE,,wireguard,AS51519,"KARABRO Karabro AB, SE",flowvpn_dns,2026-05-21,se.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
45.95.232.60,flowvpn,confirmed,CH,,wireguard,AS215540,"GCS-AS, GB",flowvpn_dns,2026-05-21,ch.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
185.175.56.166,flowvpn,confirmed,NO,,wireguard,AS63473,"HOSTHATCH - HostHatch, LLC, US",flowvpn_dns,2026-05-21,no.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
185.172.173.252,flowvpn,confirmed,DK,,wireguard,AS215052,"DINSERVGRO-NET, DK",flowvpn_dns,2026-05-21,dk.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-07,2026-05-21,true
45.144.53.201,flowvpn,confirmed,FI,,wireguard,AS215730,"H2NEXUS-AS H2NEXUS LTD, GB",flowvpn_dns,2026-05-21,fi.flow.host,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-037,2026-05-18,2026-05-21,true
