ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
52.85.193.108,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hsselite.com,2026-09-03,api.hsselite.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-05-07,2026-09-03,true
52.85.193.102,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hsselite.com,2026-09-03,api.hsselite.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-05-07,2026-09-03,true
52.85.193.107,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hsselite.com,2026-09-03,api.hsselite.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-05-07,2026-09-03,true
52.85.193.26,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hsselite.com,2026-09-03,api.hsselite.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-05-07,2026-09-03,true
184.32.96.232,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hotspotshield.com,2026-09-03,api.hotspotshield.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-08-22,2026-09-03,true
34.215.226.113,hotspotshield,confirmed,US,,hydra,AS16509,"AMAZON-02 - Amazon.com, Inc., US",dns_api.hotspotshield.com,2026-09-03,api.hotspotshield.com,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,12,contextual,20,strong,VPN-024,2026-08-25,2026-09-03,true
213.182.69.82,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
94.91.87.195,hotspotshield,high,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.88,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
70.32.3.36,hotspotshield,high,US,,hydra,AS32181,"ASN-GIGENET - GigeNET, US",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.91,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.92,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
94.91.87.198,hotspotshield,high,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
76.53.94.106,hotspotshield,high,US,,hydra,AS20001,"TWC-20001-PACWEST - Charter Communications Inc, US",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
94.91.87.197,hotspotshield,high,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.85,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
70.32.3.37,hotspotshield,high,US,,hydra,AS32181,"ASN-GIGENET - GigeNET, US",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
94.91.87.199,hotspotshield,high,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.93,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
94.91.87.193,hotspotshield,high,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
70.32.3.38,hotspotshield,high,US,,hydra,AS32181,"ASN-GIGENET - GigeNET, US",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
213.182.69.83,hotspotshield,high,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",shodan_org,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),unknown,,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
,hotspotshield,medium,IT,,hydra,AS21056,"ASN-WELCOMEITALIA - Vianova S.p.A, IT",prefix_inferred_from_7_ips,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),prefix-inferred,213.182.69.0/24,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
,hotspotshield,medium,IT,,hydra,AS3269,"ASN-IBSNAZ - Telecom Italia S.p.A., IT",prefix_inferred_from_5_ips,2026-09-03,,DNS + Shodan org,DPRK high-usage (Recorded Future: 63.2% NK VPN user share),prefix-inferred,94.91.87.0/24,10,contextual,15,strong,VPN-025,2026-08-23,2026-09-03,true
