ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance
103.124.165.130,mullvad,confirmed,al,Tirana,wireguard,AS197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",mullvad_api,2026-04-20,al-tia-wg-003,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.124.165.191,mullvad,confirmed,al,Tirana,wireguard,AS197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",mullvad_api,2026-04-20,al-tia-wg-004,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.22.83.2,mullvad,confirmed,ar,Buenos Aires,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ar-bue-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
149.22.83.31,mullvad,confirmed,ar,Buenos Aires,wireguard,AS212238,"CDNEXT, GB",mullvad_api,2026-04-20,ar-bue-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.116.98,mullvad,confirmed,at,Vienna,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,at-vie-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.116.130,mullvad,confirmed,at,Vienna,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,at-vie-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.116.162,mullvad,confirmed,at,Vienna,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,at-vie-wg-003,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
185.24.11.130,mullvad,confirmed,at,Vienna,wireguard,AS60068,"CDN77 _, GB",mullvad_api,2026-04-20,at-vie-wg-101,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
185.24.11.159,mullvad,confirmed,at,Vienna,wireguard,AS60068,"CDN77 _, GB",mullvad_api,2026-04-20,at-vie-wg-102,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.214.20.50,mullvad,confirmed,au,Adelaide,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-adl-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.214.20.130,mullvad,confirmed,au,Adelaide,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-adl-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.214.20.162,mullvad,confirmed,au,Adelaide,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-adl-wg-303,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.216.220.18,mullvad,confirmed,au,Brisbane,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-bne-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.216.220.34,mullvad,confirmed,au,Brisbane,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-bne-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.216.220.66,mullvad,confirmed,au,Brisbane,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-bne-wg-303,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
163.47.16.146,mullvad,confirmed,au,Melbourne,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-mel-wg-401,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
163.47.16.150,mullvad,confirmed,au,Melbourne,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-mel-wg-402,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
163.47.16.154,mullvad,confirmed,au,Melbourne,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-mel-wg-403,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.108.231.50,mullvad,confirmed,au,Perth,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-per-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.108.231.66,mullvad,confirmed,au,Perth,wireguard,AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",mullvad_api,2026-04-20,au-per-wg-302,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.141.154,mullvad,confirmed,au,Sydney,bridge,AS9009,"M247, RO",mullvad_api,2026-04-20,au-syd-br-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.200.2,mullvad,confirmed,au,Sydney,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,au-syd-wg-001,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.141.194,mullvad,confirmed,au,Sydney,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,au-syd-wg-002,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
146.70.200.194,mullvad,confirmed,au,Sydney,wireguard,AS9009,"M247, RO",mullvad_api,2026-04-20,au-syd-wg-003,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.3,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-101,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.65,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-102,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.129,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-103,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.136.147.197,mullvad,confirmed,au,Sydney,wireguard,AS43357,"OWL Owl Limited, VU",mullvad_api,2026-04-20,au-syd-wg-104,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
103.120.6.2,mullvad,confirmed,au,Sydney,wireguard,AS203020,"HOSTROYALE, IN",mullvad_api,2026-04-20,au-syd-wg-301,Public API,Verified no-logs (2023 Swedish police raid); privacy-focused
