ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
198.167.192.1,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg001.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.3,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg002.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.5,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg003.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.7,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg004.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.9,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg005.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.11,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg006.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.13,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg007.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.15,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg008.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.17,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg009.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
198.167.192.19,njalla,confirmed,NO,,wireguard,AS39287,"materialism - Materialism s.r.l., RO",njalla_dns,2026-08-02,wg010.njalla.no,DNS enumeration,Privacy-focused; operated by same org as Njalla domain registrar,ingress,,5,contextual,5,contextual,VPN-038,2026-05-07,2026-08-02,true
