ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
146.70.83.226,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.202,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.170,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.218,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.154,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.162,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.186,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
185.253.98.42,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.250,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.178,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
37.120.198.162,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.242,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.194,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.130,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.234,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.146,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.83.210,torguard,confirmed,GB,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,uk.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.42,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.2,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.98,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.114,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.34,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.66,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
146.70.137.74,torguard,confirmed,CA,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",torguard_dns,2026-06-23,ca.torguard.org,DNS enumeration,"DPRK confirmed (Mandiant: UNC4899 JumpCloud attack, secondary VPN)",ingress,,15,strong,25,anchor,VPN-005,2026-05-07,2026-06-23,true
