ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
69.167.28.254,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
209.160.115.254,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us2.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.34.27,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us3.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
216.168.16.18,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us4.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.34.31,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us5.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.34.21,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us6.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
69.167.29.254,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us7.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
69.167.30.254,vyprvpn,confirmed,US,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,us8.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.34.33,vyprvpn,confirmed,CA,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,ca1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
178.208.168.254,vyprvpn,confirmed,GB,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,uk1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.128.254,vyprvpn,confirmed,DE,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,de1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.141.254,vyprvpn,confirmed,FR,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,fr1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.159.254,vyprvpn,confirmed,SE,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,se1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
31.6.41.254,vyprvpn,confirmed,CH,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,ch1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.163.254,vyprvpn,confirmed,NO,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,no1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.154.254,vyprvpn,confirmed,DK,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,dk1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.166.254,vyprvpn,confirmed,FI,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,fi1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.148.254,vyprvpn,confirmed,AT,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,at1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.157.254,vyprvpn,confirmed,ES,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,es1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.161.254,vyprvpn,confirmed,IT,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,it1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.168.254,vyprvpn,confirmed,PT,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,pt1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.170.254,vyprvpn,confirmed,PL,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,pl1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.164.254,vyprvpn,confirmed,CZ,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,cz1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.145.254,vyprvpn,confirmed,BE,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,be1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
31.6.19.254,vyprvpn,confirmed,IE,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,ie1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.171.254,vyprvpn,confirmed,RO,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,ro1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.167.254,vyprvpn,confirmed,BG,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,bg1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.165.254,vyprvpn,confirmed,LU,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,lu1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.174.254,vyprvpn,confirmed,LV,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,lv1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.173.254,vyprvpn,confirmed,LT,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,lt1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.176.254,vyprvpn,confirmed,SK,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,sk1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.175.254,vyprvpn,confirmed,SI,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,si1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
31.6.11.254,vyprvpn,confirmed,GR,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,gr1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.169.254,vyprvpn,confirmed,TR,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,tr1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.151.254,vyprvpn,confirmed,RU,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,ru1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.172.254,vyprvpn,confirmed,UA,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,ua1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.0.254,vyprvpn,confirmed,JP,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,jp1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.49.254,vyprvpn,confirmed,SG,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,sg1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
103.27.224.254,vyprvpn,confirmed,AU,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,au1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
103.27.225.254,vyprvpn,confirmed,AU,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,au2.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
43.251.166.254,vyprvpn,confirmed,AU,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,au3.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
103.27.227.254,vyprvpn,confirmed,NZ,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,nz1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.192.254,vyprvpn,confirmed,HK,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,hk1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.60.254,vyprvpn,confirmed,IN,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,in1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.30.254,vyprvpn,confirmed,KR,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,kr1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
216.168.16.20,vyprvpn,confirmed,BR,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,br1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.34.23,vyprvpn,confirmed,MX,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,mx1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
216.168.16.19,vyprvpn,confirmed,AR,,wireguard,AS40861,"PARAD-40-ASN - Paradise Networks LLC, US",vyprvpn_dns,2026-06-24,ar1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.59.254,vyprvpn,confirmed,IL,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,il1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
103.250.143.254,vyprvpn,confirmed,TH,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,th1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
128.90.53.254,vyprvpn,confirmed,VN,,wireguard,AS22363,"PHMGMT-AS1 - Powerhouse Management, Inc., US",vyprvpn_dns,2026-06-24,vn1.vyprvpn.com,DNS enumeration,General VPN coverage,ingress,,5,contextual,5,contextual,VPN-030,2026-05-07,2026-06-24,true
