ip,provider,confidence,country,city,server_type,asn,asn_name,source,source_date,hostname,collection_method,threat_relevance,ip_role,prefix,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id,first_seen,last_seen,active
66.232.126.66,windscribe,confirmed,US,,wireguard,AS29802,"HVC-AS - HIVELOCITY, Inc., US",windscribe_dns,2026-07-19,us-east-001.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
45.87.214.34,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-east-012.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
185.232.22.194,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-east-013.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
45.87.214.66,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-east-014.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
77.81.136.66,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-east-031.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
67.21.32.144,windscribe,confirmed,US,,wireguard,AS397373,"H4Y-TECHNOLOGIES - H4Y Technologies LLC, US",windscribe_dns,2026-07-19,us-east-040.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
104.168.34.146,windscribe,confirmed,US,,wireguard,AS36352,"AS-COLOCROSSING - HostPapa, US",windscribe_dns,2026-07-19,us-east-045.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
199.217.105.226,windscribe,confirmed,US,,wireguard,AS33083,"AXCELX-NET - AxcelX Technologies LLC, US",windscribe_dns,2026-07-19,us-east-051.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
198.147.22.186,windscribe,confirmed,US,,wireguard,AS46562,"PERFORMIVE - Performive LLC, US",windscribe_dns,2026-07-19,us-east-052.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
69.12.94.66,windscribe,confirmed,US,,wireguard,AS36352,"AS-COLOCROSSING - HostPapa, US",windscribe_dns,2026-07-19,us-central-014.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
198.96.95.194,windscribe,confirmed,US,,wireguard,AS19318,"IS-AS-1 - Interserver, Inc, US",windscribe_dns,2026-07-19,us-central-018.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
198.55.125.194,windscribe,confirmed,US,,wireguard,AS36352,"AS-COLOCROSSING - HostPapa, US",windscribe_dns,2026-07-19,us-central-029.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
107.161.86.130,windscribe,confirmed,US,,wireguard,AS36352,"AS-COLOCROSSING - HostPapa, US",windscribe_dns,2026-07-19,us-central-030.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
185.236.200.34,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-west-004.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
185.236.200.18,windscribe,confirmed,US,,wireguard,AS9009,"M247 - M247 Europe SRL, RO",windscribe_dns,2026-07-19,us-west-005.windscribe.com,DNS enumeration,General VPN coverage; open-source client,ingress,,5,contextual,5,contextual,VPN-017,2026-05-07,2026-07-19,true
