ip,prefix,provider,asn,asn_name,source_date,score_prehire,tier_prehire,score_posthire,tier_posthire,first_seen,last_seen,active
103.124.165.2,,mullvad,AS197706,"Keminet - Keminet SHPK, AL",2026-08-06,8,contextual,8,contextual,2026-06-12,2026-08-06,true
103.124.165.130,,mullvad,AS197706,"Keminet - Keminet SHPK, AL",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.124.165.191,,mullvad,AS197706,"Keminet - Keminet SHPK, AL",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.22.83.2,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
149.22.83.31,,mullvad,AS212238,"CDNEXT - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.116.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
135.136.51.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-06-12,2026-08-06,true
135.136.51.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-06-17,2026-08-06,true
185.24.11.130,,mullvad,AS60068,"CDN77 - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
185.24.11.159,,mullvad,AS60068,"CDN77 - Datacamp Limited, GB",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.214.20.50,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.214.20.130,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.214.20.162,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.216.220.18,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.216.220.34,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.216.220.66,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
163.47.16.146,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
163.47.16.154,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.108.231.50,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.108.231.66,,mullvad,AS136557,"HOST-AS-AP - Host Universal Pty Ltd, AU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.141.154,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.200.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.141.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.200.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.136.147.3,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.136.147.65,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.136.147.129,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.136.147.197,,mullvad,AS43357,"OWL - Owl Limited, VU",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.120.6.2,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.120.6.127,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.141.60.2,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
103.141.60.127,,mullvad,AS203020,"HostRoyale - HostRoyale Technologies Pvt Ltd, IN",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
91.90.123.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
194.110.115.34,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
194.110.115.2,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.188.130,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
146.70.188.194,,mullvad,AS9009,"M247 - M247 Europe SRL, RO",2026-08-06,8,contextual,8,contextual,2026-05-07,2026-08-06,true
