relay_hostname,ingress_ip,exit_ip,probe_date
al-tia-wg-001,103.124.165.2,103.124.165.5,2026-07-07
al-tia-wg-004,103.124.165.191,103.124.165.199,2026-07-07
ar-bue-wg-001,149.22.83.2,149.22.83.6,2026-07-07
ar-bue-wg-002,149.22.83.31,149.22.83.35,2026-07-07
at-vie-wg-001,146.70.116.130,146.70.116.161,2026-07-07
at-vie-wg-002,135.136.51.2,135.136.51.33,2026-07-07
at-vie-wg-003,135.136.51.130,135.136.51.161,2026-07-07
at-vie-wg-101,185.24.11.130,185.24.11.133,2026-07-07
at-vie-wg-102,185.24.11.159,185.24.11.162,2026-07-07
au-adl-wg-301,103.214.20.50,103.214.20.51,2026-07-07
au-adl-wg-302,103.214.20.130,103.214.20.131,2026-07-07
au-adl-wg-303,103.214.20.162,103.214.20.163,2026-07-07
au-bne-wg-301,103.216.220.18,103.216.220.19,2026-07-07
au-bne-wg-302,103.216.220.34,103.216.220.35,2026-07-07
au-bne-wg-303,103.216.220.66,103.216.220.67,2026-07-07
au-mel-wg-401,163.47.16.146,91.190.106.2,2026-07-07
au-mel-wg-403,163.47.16.154,91.190.106.165,2026-07-07
au-per-wg-301,103.108.231.50,103.108.231.51,2026-07-07
au-per-wg-302,103.108.231.66,103.108.231.67,2026-07-07
au-syd-wg-001,146.70.200.2,146.70.200.3,2026-07-07
au-syd-wg-002,146.70.141.194,146.70.141.195,2026-07-07
au-syd-wg-003,146.70.200.194,146.70.200.195,2026-07-07
au-syd-wg-101,103.136.147.3,103.136.147.4,2026-07-07
au-syd-wg-102,103.136.147.65,103.136.147.66,2026-07-07
au-syd-wg-103,103.136.147.129,103.136.147.130,2026-07-07
au-syd-wg-104,103.136.147.197,103.136.147.198,2026-07-07
au-syd-wg-301,103.120.6.2,103.120.6.19,2026-07-07
au-syd-wg-302,103.120.6.127,103.120.6.144,2026-07-07
au-syd-wg-303,103.141.60.2,103.141.60.19,2026-07-07
au-syd-wg-304,103.141.60.127,103.141.60.144,2026-07-07
be-bru-wg-101,91.90.123.2,91.90.123.3,2026-07-07
be-bru-wg-102,194.110.115.34,194.110.115.35,2026-07-07
be-bru-wg-103,194.110.115.2,194.110.115.3,2026-07-07
bg-sof-wg-001,146.70.188.130,146.70.188.131,2026-07-07
bg-sof-wg-002,146.70.188.194,146.70.188.195,2026-07-07
br-for-wg-001,98.98.12.178,155.2.219.20,2026-07-07
br-for-wg-002,98.98.12.182,155.2.219.146,2026-07-07
br-sao-wg-201,169.150.198.66,169.150.198.67,2026-07-07
br-sao-wg-202,169.150.198.79,169.150.198.80,2026-07-07
br-sao-wg-302,103.139.178.63,103.139.178.76,2026-07-07
br-sao-wg-303,103.139.178.123,103.139.178.136,2026-07-07
br-sao-wg-304,103.139.178.183,103.139.178.196,2026-07-07
ca-mtr-wg-001,146.70.198.66,146.70.198.67,2026-07-07
ca-mtr-wg-002,146.70.198.130,146.70.198.131,2026-07-07
