asn,asn_name,domain_count
13335,"CLOUDFLARENET - Cloudflare, Inc., US",8893
24940,"HETZNER-AS, DE",7352
14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",6685
12586,"ASGHOSTNET, DE",3294
30886,"KOMITEX-AS, UA",3287
62371,"PROTON, CH",2857
15169,"GOOGLE - Google LLC, US",2387
16276,"OVH, FR",2203
133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",1938
16509,"AMAZON-02 - Amazon.com, Inc., US",1707
22612,"NAMECHEAP-NET - Namecheap, Inc., US",1673
51167,"CONTABO, DE",1474
8075,"MICROSOFT-CORP-MSN-AS-BLOCK - Microsoft Corporation, US",1306
396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",944
63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",694
8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",692
213230,"HETZNER-CLOUD2-AS, DE",607
14618,"AMAZON-AES - Amazon.com, Inc., US",604
47583,"AS-HOSTINGER, CY",595
47172,"GREENHOST, NL",589
63023,"AS-GLOBALTELEHOST - GTHost, US",427
198610,"BEGET-AS, RU",413
212317,"HETZNER-CLOUD3-AS, DE",294
9123,"TIMEWEB-AS, RU",289
46475,"LIMESTONENETWORKS - Limestone Networks, Inc., US",277
202053,"UPCLOUD, FI",269
398101,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",231
200107,"KL-EXT, CH",230
60068,"CDN77 _, GB",215
203446,"AS203446, GB",203
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",201
13238,YANDEX - YANDEX LLC,195
2639,"ZOHO-AS - ZOHO, US",189
26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",186
20473,"AS-VULTR - The Constant Company, LLC, US",184
26211,"PROOFPOINT-ASN-US-WEST - Proofpoint, Inc., US",165
9318,"SKB-AS SK Broadband Co Ltd, KR",161
7506,"INTERQ GMO Internet Group, Inc., JP",157
22843,"PROOFPOINT-ASN-US-EAST - Proofpoint, Inc., US",152
29169,"GANDI-AS Domain name registrar - www.gandi.net, FR",138
48707,"AS48707-OPS-, PL",135
213702,"QWINS-LTD QWINS AS-SET: ~ # AS213702:AS-CUSTOMERS, GB",133
151847,"FASTMAILPTYLTD-AS-AP Fastmail Pty Ltd, AU",133
197540,"NETCUP-AS netcup GmbH, DE",129
46606,"UNIFIEDLAYER-AS-1 - Unified Layer, US",127
31898,"ORACLE-BMC-31898 - Oracle Corporation, US",119
197695,"AS-REG, RU",116
135905,"VNPT-AS-VN VIETNAM POSTS AND TELECOMMUNICATIONS GROUP, VN",112
15348,"TUCOWS - Tucows.com Co., CA",97
12025,"IMDC-AS12025 - Iron Mountain Data Center, US",95
714,"APPLE-ENGINEERING - Apple Inc., US",94
132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue, CN",91
40021,"CONTABO-40021 - Contabo Inc., US",87
34766,"LAYER23, NL",82
48254,"TWENTYI, GB",78
29873,"BIZLAND-SD - Newfold Digital, Inc., US",76
36352,"AS-COLOCROSSING - HostPapa, US",75
9304,"HUTCHISON-AS-AP HGC Global Communications Limited, HK",75
3308,"TELIANET-DENMARK, SE",73
46261,"QUICKPACKET - QuickPacket, LLC, US",66
47764,"VK-AS, RU",65
29182,"RU-JSCIOT, RU",65
199524,"GCORE, LU",63
10439,"CARINET - CariNet, Inc., US",59
19318,"IS-AS-1 - Interserver, Inc, US",57
30031,"MIMECAST-US - Mimecast North America Inc, US",56
19871,"NETWORK-SOLUTIONS-HOSTING - Network Solutions, LLC, US",56
44486,"SYNLINQ synlinq.de, DE",56
29802,"HVC-AS - HIVELOCITY, Inc., US",52
36086,"TELX-LEGACY - Telx, US",50
8495,"INTERNET_AG Frankfurt-Munich-Stuttgart-Amsterdam-London, DE",49
6724,"STRATO STRATO AG, DE",48
200514,"KNOWNSRV, GB",48
44094,"WEBHOST1-AS, RU",47
42846,"GUZELHOSTING GNET INTERNET TELEKOMUNIKASYON A.S., TR",46
57043,"HOSTKEY-AS, NL",45
9009,"M247, RO",45
205111,"ZOHO-EU, NL",44
54290,"HOSTWINDS - Hostwinds LLC., US",44
32244,"LIQUIDWEB - Liquid Web, L.L.C, US",42
34788,"NMM-AS D - 02742 Friedersdorf Hauptstrasse 68, DE",41
60781,"LEASEWEB-NL-AMS-01 Netherlands, NL",39
131965,"XSERVER Xserver Inc., JP",37
34119,"WILDCARD-AS Wildcard UK Limited, GB",37
32491,"TUCOWS-3 - Tucows.com Co., CA",36
35916,"MULTA-ASN1 - MULTACOM CORPORATION, US",34
36351,"SOFTLAYER - IBM Cloud, US",34
12876,"Online SAS, FR",32
210079,"EUROBYTE, RU",32
20068,"HAWKHOST - Hawk Host Inc., CA",31
41079,"CF-GDA, PL",31
210976,"TWC-EU, KZ",31
19994,"RACKSPACE - Rackspace Hosting, US",30
43066,"IT-NRW, DE",30
8860,"DELTA-BG-AS, BG",29
59253,"LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD., SG",29
56201,"ZOHO-IN Zoho Corporation Pvt. Ltd, IN",27
29838,"AMC - Atlantic Metro Communications II, Inc., US",27
29222,"INFOMANIAK-AS, CH",26
40294,"CHARTER-40294-DC - Charter Communications LLC, US",26
55293,"A2HOSTING - A2 Hosting, Inc., US",25
51468,"ONECOM, DK",25
200000,"UKRAINE-AS, UA",25
204601,"PODAON, NL",25
202422,"GHOST, LU",24
31034,"ARUBA-ASN, IT",24
20857,"TRANSIP-AS Amsterdam, the Netherlands, NL",24
50599,"Autonomous System for Dataspace P.S.A., PL",24
60404,"LITESERVER, NL",24
39729,"REGISTER-AS, IT",24
30447,"INFB2-AS - Internet Names For Business Inc., CA",23
7922,"COMCAST-7922 - Comcast Cable Communications, LLC, US",23
13916,"PROOFPOINT-UT7 - Proofpoint, Inc., US",23
210909,"TUTA, DE",22
32475,"SINGLEHOP-LLC - Internap Holding LLC, US",22
4766,"KIXS-AS-KR Korea Telecom, KR",22
214996,"NETCUP, DE",22
49981,"WORLDSTREAM, NL",21
36647,"YAHOO-GQ1 - Yahoo Holdings Inc., US",21
45839,"SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd, MY",21
13037,"ZEN-AS Zen Internet - UK, GB",20
18403,"FPT-AS-AP FPT Telecom Company, VN",20
27357,"RACKSPACE - Rackspace Hosting, US",20
209605,"HOSTBALTIC, LT",20
135932,"VNDATA-AS-VN Viet Storage Technology Joint Stock Company, VN",20
11014,"CPS, AR",20
401696,"COGNETCLOUD - cognetcloud INC, US",19
22611,"INMOTION - InMotion Hosting, Inc., US",19
6939,"HURRICANE - Hurricane Electric LLC, US",19
