domain,primary_mx,mx_ip,asn,asn_name,bgp_prefix,cc,registry,mx_records,error
000email.com,,,,,,,,,
00.0.gmail.com.gmail.8.3.gmail.35.cad.creou.dev,,,,,,,,,
00000000000.pro,,,,,,,,,
0033.pl,,,,,,,,,
00082cc.com,,,,,,,,,
000777.info,,,,,,,,,
0-attorney.com,,,,,,,,,
001.igg.biz,,,,,,,,,
00.msk.ru,,,,,,,,,
003271.com,,,,,,,,,
0039.ga,,,,,,,,,
004k.com,,,,,,,,,
006j.com,,,,,,,,,
0039.ml,,,,,,,,,
002t.com,,,,,,,,0 ,
002r.com,,,,,,,,0 ,
007948.com,,,,,,,,,
0-00.usa.cc,,,,,,,,,
00021254.usa.cc,,,,,,,,,
0039.cf,,,,,,,,,
0039.gq,,,,,,,,,
00-tv.com,,,,,,,,,
00b2bcr51qv59xst2.ga,,,,,,,,,
006o.com,,,,,,,,0 ,
007gmail.com,,,,,,,,,
00b2bcr51qv59xst2.cf,,,,,,,,,
00b2bcr51qv59xst2.ml,,,,,,,,,
00b2bcr51qv59xst2.gq,,,,,,,,,
00sh.cf,,,,,,,,,
00b2bcr51qv59xst2.tk,,,,,,,,,
001gmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
0123.website,,,,,,,,,
003j.com,localhost,127.0.0.1,,,,,,0 localhost,
002gmail.com,aero4.stememail.com,64.227.4.13,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 aero4.stememail.com;10 mail4.stememail.net,
0-mail.com,park-mx.above.com,103.224.212.34,133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",103.224.212.0/23,AU,apnic,10 park-mx.above.com,
012521renbul.igg.biz,,,,,,,,,
0-30-24.com,aspmx.l.google.com,142.250.9.26,15169,"GOOGLE, US",142.250.9.0/24,US,arin,1 aspmx.l.google.com;5 alt1.aspmx.l.google.com;5 alt2.aspmx.l.google.com;10 alt3.aspmx.l.google.com;10 alt4.aspmx.l.google.com,
00.pe,mail.mailinator.com,23.239.11.30,63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",23.239.8.0/21,US,arin,5 mail.mailinator.com,
01234.space,,,,,,,,,
00g0.com,,,,,,,,0 ,
017gmail.com,,,,,,,,,
01852990.ga,,,,,,,,,
0058.ru,aspmx.l.google.com,142.250.9.26,15169,"GOOGLE, US",142.250.9.0/24,US,arin,10 aspmx.l.google.com;10 alt1.aspmx.l.google.com;10 alt2.aspmx.l.google.com;10 alt3.aspmx.l.google.com;10 alt4.aspmx.l.google.com,
01bktwi2lzvg05.cf,,,,,,,,,
01bktwi2lzvg05.ga,,,,,,,,,
019gmail.com,,,,,,,,,
0199934.com,,,,,,,,,
01bktwi2lzvg05.tk,,,,,,,,,
01bktwi2lzvg05.ml,,,,,,,,,
01bktwi2lzvg05.gq,,,,,,,,,
01hosting.biz,,,,,,,,,
01trends.com,,,,,,,,,
01911.ru,,,,,,,,,
009gmail.com,srv4.recoverhost.com,206.189.202.1,14061,"DIGITALOCEAN-ASN, US",206.189.192.0/20,US,arin,0 srv4.recoverhost.com;10 em4.recoverhost.com,
008gmail.com,mainmx4.darkprobe.com,64.227.9.205,14061,"DIGITALOCEAN-ASN, US",64.227.0.0/20,US,arin,0 mainmx4.darkprobe.com;10 auxmx4.darkprobe.com,
020gmail.com,,,,,,,,,
020yiren.com,,,,,,,,,
0215bala.igg.biz,,,,,,,,,
