domain,fp_id,fp_name,confidence,flame_tp_ids,evidence
00j.org,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
07157.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~hope-mail.com
089-100-176119.ntlworld.ie,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
0aloaltonetworks.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0aypal.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0costonlineincome.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,100,TP-0001,primary_mx~pickelhost.com
0kx.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0nc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0okx.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0openai.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0pena1.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0penai.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
0penal.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0phemex.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0pnc.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
0progressive.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
0racle.com,FP-0007,Typosquat Evasion Infrastructure,75,TP-0012,dnstwist_match=True
0rade.com,FP-0007,Typosquat Evasion Infrastructure,80,TP-0012,dnstwist_match=True
0sp.me,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
0sp.me,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
1-ctrl.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1000h.ai,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,100,TP-0001,primary_mx~pickelhost.com
1010studio.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~pickelhost.com
1012.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
105452.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
105452.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
10minutemail.de,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
10minutenemail.de,FP-0011,IP-KVM / Remote-Management Exposure,20,,rmm_detected=yes
11bank.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
11lu.org,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
11quid.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
123market.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
123movies.info,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
12minutemail.net,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
1350.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
1370.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
13896.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,100,TP-0001,primary_mx~pickelhost.com
13976448255.com,FP-0011,IP-KVM / Remote-Management Exposure,15,,rmm_detected=yes
139774.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,90,TP-0001,primary_mx~eye-mail.net
158.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
16816889.xyz,FP-0011,IP-KVM / Remote-Management Exposure,60,,rmm_detected=yes
17.org,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
177.co.com,FP-0009,IPIDEA Residential Proxy Network Infrastructure,80,,proxy_detected=yes
177.co.com,FP-0010,Doppelganger / KadNap Residential Proxy Infrastructure,75,,proxy_detected=yes
1800casinos.co,FP-0011,IP-KVM / Remote-Management Exposure,60,,rmm_detected=yes
1909.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1961.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1962.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1964.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1969.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1970.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
1974.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
1978.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~mailerhost.net
1981.com,FP-0008,pickelhost/eye-mail ULA SPF Phishing Platform,75,TP-0001,primary_mx~h-email.net
1adobe.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
1adp.com,FP-0007,Typosquat Evasion Infrastructure,65,TP-0012,dnstwist_match=True
1allstate.com,FP-0007,Typosquat Evasion Infrastructure,85,TP-0012,dnstwist_match=True
1amazon.com,FP-0007,Typosquat Evasion Infrastructure,60,TP-0012,dnstwist_match=True
