date,total,live,dead
2026-02-02,229021,69949,159072
2026-02-03,242697,74841,167856
2026-02-04,242755,75536,167219
2026-02-05,242947,74083,168864
2026-02-06,243240,75000,168240
2026-02-07,243405,74114,169291
2026-02-08,243477,74222,169255
2026-02-09,243679,75482,168197
2026-02-10,243728,75086,168642
2026-02-11,243871,74223,169648
2026-02-12,250399,74825,175574
2026-02-13,250509,75628,174881
2026-02-15,251569,78581,172988
2026-02-16,258924,83592,175332
2026-02-17,268778,95385,173393
2026-02-19,280648,106559,174089
2026-02-21,280770,107266,173504
2026-02-22,280801,106135,174666
2026-02-24,280460,107463,172997
2026-02-25,280677,106978,173699
2026-02-26,280664,107520,173144
2026-02-27,280797,106173,174624
2026-02-28,280873,106304,174569
2026-03-01,280937,106743,174194
2026-03-02,280925,102624,178301
2026-03-03,281010,102970,178040
2026-03-09,282233,106494,175739
2026-03-20,282523,105716,176807
2026-03-21,282543,106442,176101
2026-03-22,282593,105720,176873
2026-03-23,282641,105591,177050
