product,identifier_type,value,notes,source
TinyPilot,usb_vendor_id,1D6B,Default USB vendor ID presented by the KVM,mattysplo.it 2025-06-13
TinyPilot,usb_product_id,0104,Default USB product ID,mattysplo.it 2025-06-13
TinyPilot,usb_serial,6b65796d696d6570690,Default serial; hex for "keymimepi",mattysplo.it 2025-06-13
TinyPilot,mac_prefix,04c98b,OUI observed on TinyPilot units,mattysplo.it 2025-06-13
PiKVM,usb_vendor_id,1D6B,Default USB vendor ID,mattysplo.it 2025-06-13
PiKVM,usb_product_id,0104,Default USB product ID,mattysplo.it 2025-06-13
PiKVM,usb_serial,CAFEBABE,Default serial string,mattysplo.it 2025-06-13
PiKVM,mac_prefix,b827eb,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,28cdc1,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,d83add,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,dca632,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,e45f01,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,2ccf67,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,3a3541,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,mac_prefix,88a29e,Raspberry Pi Foundation OUI,mattysplo.it 2025-06-13
PiKVM,hid_device,/dev/hidg0,Written to by Scapy ARP-listener C2 for simulated keystrokes,mattysplo.it 2025-06-13
