mx_host,domain_count,primary_asn
tinyhost.shop,30229,"AS51167 (CONTABO - Contabo GmbH, DE)"
park-mx.above.com,7859,"AS133618 (TRELLIAN-AS-AP - Trellian Pty. Limited, AU)"
route2.mx.cloudflare.net,5386,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
route1.mx.cloudflare.net,2969,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
route3.mx.cloudflare.net,2843,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx1.simplelogin.co,2616,"AS62371 (PROTON - Proton AG, CH)"
aspmx.l.google.com,2280,"AS15169 (GOOGLE - Google LLC, US)"
mail.wabblywabble.com,1815,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
emailfake.com,1736,"AS30886 (KOMITEX-AS - PP KOM i TEX, UA)"
generator.email,1634,"AS30886 (KOMITEX-AS - PP KOM i TEX, UA)"
mail.h-email.net,1232,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx4.beavis99.com,1166,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
smtp.google.com,1092,"AS15169 (GOOGLE - Google LLC, US)"
eforward1.registrar-servers.com,1070,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
aero4.unstablemail.com,1015,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
smtp.yopmail.com,957,"AS16276 (OVH - OVH SAS, FR)"
mail.eye-mail.net,752,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx156.hostedmxserver.com,719,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
localhost,615,
email.gravityengine.cc,575,"AS31898 (ORACLE-BMC-31898 - Oracle Corporation, US)"
mail.mailerhost.net,563,"AS213230 (HETZNER-CLOUD2-AS - Hetzner Online GmbH, DE)"
mail.anonaddy.me,560,"AS47172 (Greenhost - Greenhost BV, NL)"
mx.emlhub.com,495,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
email.chatgpt.org.uk,492,"AS31898 (ORACLE-BMC-31898 - Oracle Corporation, US)"
mx1.improvmx.com,476,"AS16509 (AMAZON-02 - Amazon.com, Inc., US)"
mail.pickelhost.com,452,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1.hostinger.com,451,"AS13335 (CLOUDFLARENET - Cloudflare, Inc., US)"
mx.moakt.com,397,"AS46475 (LIMESTONENETWORKS - Limestone Networks, Inc., US)"
mx.spymail.one,394,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
smtp.secureserver.net,392,"AS398101 (GO-DADDY-COM-LLC - GoDaddy.com, LLC, US)"
mxa.mailgun.org,387,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
inbound-smtp.us-east-1.amazonaws.com,384,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
mx.emltmp.com,373,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1.beget.com,365,"AS198610 (BEGET-AS - Beget LLC, RU)"
mx.emlpro.com,362,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.10mail.org,343,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.dropmail.me,336,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx.freeml.net,322,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mx1.timeweb.ru,320,"AS9123 (TimeWeb-AS - JSC _TIMEWEB_, RU)"
mx1-hosting.jellyfish.systems,300,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
mx1.forwardemail.net,292,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx37.mb5p.com,274,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mx.yomail.info,264,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mail.mailinator.com,261,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
mx195.mb5p.com,258,"AS14061 (DIGITALOCEAN-ASN - DigitalOcean, LLC, US)"
mail2.anonaddy.me,258,"AS202053 (UPCLOUD - UpCloud Ltd, FI)"
mail.casadorock.com,250,"AS212317 (HETZNER-CLOUD3-AS - Hetzner Online GmbH, DE)"
mx00.mail.com,248,"AS8560 (IONOS-AS - IONOS SE, DE)"
mx.zoho.com,236,"AS2639 (ZOHO-AS - ZOHO, US)"
mx.10mail.xyz,226,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
mxb.mailgun.org,215,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
smtpv2.ec2.33mail.com,210,"AS14618 (AMAZON-AES - Amazon.com, Inc., US)"
sss.pp.ua,193,
fwd.regery.net,183,"AS24940 (HETZNER-AS - Hetzner Online GmbH, DE)"
tempm.com,172,"AS30886 (KOMITEX-AS - PP KOM i TEX, UA)"
custmx.cscdns.net,163,"AS63949 (AKAMAI-LINODE-AP - Akamai Connected Cloud, SG)"
mx1.privateemail.com,163,"AS22612 (NAMECHEAP-NET - Namecheap, Inc., US)"
mail.protonmail.ch,162,"AS62371 (PROTON - Proton AG, CH)"
~,162,
mailosaur.net,154,"AS396982 (GOOGLE-CLOUD-PLATFORM - Google LLC, US)"
mx.dka.mailcore.net,154,"AS34766 (Layer23 - atom86 BV, NL)"
smtp.oneb.net,146,"AS16276 (OVH - OVH SAS, FR)"
