pivot_selector,pivot_ip,discovered_domain,source
mx.fex.plus,193.108.118.7,curtailmentpro.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,infostore.org,AlienVault_OTX
mx.fex.plus,193.108.118.7,mailbox.in.ua,AlienVault_OTX
mx.fex.plus,193.108.118.7,mywiserpower.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,segorbe.beer,AlienVault_OTX
mx.fex.plus,193.108.118.7,any.pink,AlienVault_OTX
mx.fex.plus,193.108.118.7,merepost.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,fextemp.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,fastdisk.io,AlienVault_OTX
mx.fex.plus,193.108.118.7,artsailing.net,AlienVault_OTX
mx.fex.plus,193.108.118.7,prostringer.ca,AlienVault_OTX
mx.fex.plus,193.108.118.7,stringtheracket.ca,AlienVault_OTX
mx.fex.plus,193.108.118.7,stringtheracket.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,fs1.fastdisk.io,AlienVault_OTX
mx.fex.plus,193.108.118.7,app.greentech.technology,AlienVault_OTX
mx.fex.plus,193.108.118.7,brain.r13.org,AlienVault_OTX
mx.fex.plus,193.108.118.7,energy.r13.org,AlienVault_OTX
mx.fex.plus,193.108.118.7,ibe.green,AlienVault_OTX
mx.fex.plus,193.108.118.7,imglist.org,AlienVault_OTX
mx.fex.plus,193.108.118.7,imglist.io,AlienVault_OTX
mx.fex.plus,193.108.118.7,imglist.net,AlienVault_OTX
mx.fex.plus,193.108.118.7,merepayment.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,merepay.io,AlienVault_OTX
mx.fex.plus,193.108.118.7,api.pluskouple.com,AlienVault_OTX
mx.fex.plus,193.108.118.7,seed.bitcoin.sipa.be,AlienVault_OTX
mx.fex.plus,193.108.118.7,ace.in.ua,AlienVault_OTX
mx.fex.plus,193.108.118.7,royal.org.ua,AlienVault_OTX
mx.fex.plus,193.108.118.7,365.plus,AlienVault_OTX
mx.fex.plus,193.108.118.7,seed.bitcoinstats.com,AlienVault_OTX
