domain,dns_a,dns_aaaa,dns_mx,dns_ns,fuzzer,source_target
google.com,['142.250.190.46'],['2607:f8b0:4009:801::200e'],['smtp.google.com'],['ns1.google.com'],*original,google.com
googlec.com,['1.214.210.188'],,,['ns1.doregi.com'],addition,google.com
googlen.com,['103.224.182.239'],,['park-mx.above.com'],['ns1.above.com'],addition,google.com
googlet.com,['103.224.182.239'],,['park-mx.above.com'],['ns1.above.com'],addition,google.com
googleb.com,['104.160.190.62'],['!ServFail'],['!ServFail'],['exp1.ename.net'],addition,google.com
googleq.com,['13.248.169.48'],,[''],['ns1.afternic.com'],addition,google.com
googlez.com,['13.248.169.48'],,[''],['ns1.afternic.com'],addition,google.com
googlee.com,['142.250.191.196'],['2607:f8b0:4009:80c::2004'],[''],['ns1.google.com'],addition,google.com
googleg.com,['159.89.244.183'],['!ServFail'],['!ServFail'],['ns1.perfectdomain.com'],addition,google.com
google4.com,['199.59.243.228'],,,['ns1.bodis.com'],addition,google.com
googlem.com,['207.246.78.75'],,,['ns1.dnsowl.com'],addition,google.com
googlew.com,['207.246.78.75'],,,['ns1.dnsowl.com'],addition,google.com
google6.com,['212.7.194.67'],,,['ns1.hastydns.com'],addition,google.com
google0.com,['216.198.79.65'],,,['ns1.vercel-dns.com'],addition,google.com
googleh.com,['5.22.145.121'],['2a00:18e0:5:2:7577:4e4d:413b:f507'],,['ns1.ispapi.net'],addition,google.com
googlei.com,['64.120.31.120'],,,['ns1.brainydns.com'],addition,google.com
googley.com,['85.233.160.215'],,['fwd0.hosts.co.uk'],['ns0.phase8.net'],addition,google.com
google5.com,['93.191.168.52'],,,['ns1.markmonitor.com'],addition,google.com
google1.com,,,,['ns1.googledomains.com'],addition,google.com
google2.com,,,,['ns1.googledomains.com'],addition,google.com
google3.com,,,,['ns1.googledomains.com'],addition,google.com
google7.com,,,,['ns1.googledomains.com'],addition,google.com
google8.com,,,,['ns1.googledomains.com'],addition,google.com
google9.com,,,,['ns1.googledomains.com'],addition,google.com
googlea.com,,,,['ns1.googledomains.com'],addition,google.com
googlef.com,,,,['ns1.googledomains.com'],addition,google.com
googlej.com,,,,['ns1.googledomains.com'],addition,google.com
googlek.com,,,,['a.share-dns.com'],addition,google.com
googlel.com,,,,['ns1.googledomains.com'],addition,google.com
googleo.com,,,,['ns1.googledomains.com'],addition,google.com
