asn,asn_name,risk_score_domains
14061,"DIGITALOCEAN-ASN, US",62
24940,"HETZNER-AS, DE",20
13335,"CLOUDFLARENET, US",9
30886,"KOMITEX-AS, UA",6
16276,"OVH, FR",5
15169,"GOOGLE, US",4
10439,"CARINET, US",3
63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",2
200107,"KL-EXT, CH",2
197540,"NETCUP-AS netcup GmbH, DE",2
8560,"IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE",2
20473,"AS-VULTR, US",2
13238 208398,,2
197695,"AS-REG, RU",2
22612,"NAMECHEAP-NET, US",2
133618,"TRELLIAN-AS-AP Trellian Pty. Limited, AU",1
198610,"BEGET-AS, RU",1
37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd., CN",1
16509,"AMAZON-02, US",1
213230,"HETZNER-CLOUD2-AS, DE",1
26666,"INTERSERVER-LAX, US",1
396982,"GOOGLE-CLOUD-PLATFORM, US",1
13649,"ASN-FLEXENTIAL, US",1
51167,"CONTABO, DE",1
31898,"ORACLE-BMC-31898, US",1
8075,"MICROSOFT-CORP-MSN-AS-BLOCK, US",1
211993,"SOVERIN, NL",1
50599,"Autonomous System for Dataspace P.S.A., PL",1
212317,"HETZNER-CLOUD3-AS, DE",1
45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",1
