ip,source,asn,kvm_detected,kvm_products,rmm_detected,rmm_products,exposure_evidence,checked_date
1.1.1.1,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-25
1.1.1.2,dea_domains_probed.csv,AS13335,False,,False,,,2026-08-23
1.12.0.67,dea_domains_probed.csv,AS132203,False,,False,,,2026-08-29
1.12.0.68,dea_domains_probed.csv,AS132203,False,,False,,,2026-08-23
1.13.187.130,dea_domains_probed.csv,AS45090,False,,False,,,2026-08-23
1.13.21.238,dea_domains_probed.csv,AS45090,False,,True,RustDesk,21116:RustDesk(port); 21116:RustDesk(port),2026-08-23
1.14.242.88,dea_domains_probed.csv,AS45090,False,,False,,,2026-08-23
1.214.210.188,dea_domains_probed.csv,AS3786,False,,False,,,2026-08-23
1.92.85.53,dea_domains_probed.csv,AS55990,False,,False,,,2026-08-23
100.20.214.93,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.21.19.127,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.21.236.150,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.22.125.203,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-27
100.22.183.83,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.22.96.85,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.22.98.153,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-29
100.23.34.212,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.24.193.203,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-23
100.24.208.97,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-25
100.24.247.131,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-27
100.25.240.202,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-23
100.25.90.224,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-31
100.28.104.175,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-23
100.30.53.159,dea_domains_probed.csv,AS14618,False,,False,,,2026-08-23
100.50.90.124,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.51.219.156,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-27
100.52.150.128,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.55.119.246,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-30
100.55.228.130,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-30
100.56.149.88,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.56.170.220,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-28
100.56.208.48,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.56.74.222,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.56.77.102,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.57.245.26,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.58.30.136,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-27
100.58.46.147,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.59.74.204,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.60.149.57,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.60.150.248,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.60.173.60,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.61.222.54,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.62.250.139,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-29
100.63.131.76,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.63.140.185,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.63.241.161,dea_domains_probed.csv,AS16509,False,,False,,,2026-08-23
100.64.0.1,dea_domains_probed.csv,,False,,False,,,2026-08-23
100.7.56.145,dea_domains_probed.csv,AS701,False,,False,,,2026-08-23
101.100.174.247,dea_domains_probed.csv,AS56300,False,,True,RustDesk,21116:RustDesk(port); 21116:RustDesk(port),2026-08-23
101.100.206.64,dea_domains_probed.csv,AS38719,False,,False,,,2026-08-23
101.132.189.149,dea_domains_probed.csv,AS37963,False,,True,RDP;VNC;TeamViewer;RustDesk,3389:RDP(port); 4435:VNC(product); 5268:VNC(product); 5938:TeamViewer(port); 21116:RustDesk(port); 21309:VNC(product),2026-08-23
101.201.31.110,dea_domains_probed.csv,AS37963,False,,False,,,2026-08-23
101.32.126.3,dea_domains_probed.csv,AS132203,False,,False,,,2026-08-23
101.33.20.150,dea_domains_probed.csv,AS139341,False,,False,,,2026-08-27
101.33.46.108,dea_domains_probed.csv,AS132203,False,,False,,,2026-08-23
101.36.116.106,dea_domains_probed.csv,AS135377,False,,True,RDP,3389:RDP(port),2026-08-23
101.36.123.97,dea_domains_probed.csv,AS135377,False,,False,,,2026-08-23
101.43.106.79,dea_domains_probed.csv,AS45090,False,,False,,,2026-08-23
101.43.225.108,dea_domains_probed.csv,AS45090,False,,True,RDP,3389:RDP(port),2026-08-23
101.43.9.27,dea_domains_probed.csv,AS45090,False,,False,,,2026-08-23
101.50.1.101,dea_domains_probed.csv,AS55688,False,,False,,,2026-08-23
101.50.1.94,dea_domains_probed.csv,AS55688,False,,False,,,2026-08-23
101.53.148.106,dea_domains_probed.csv,AS132420,False,,False,,,2026-08-23
101.99.69.220,dea_domains_probed.csv,AS45839,False,,False,,,2026-08-23
101.99.90.117,dea_domains_probed.csv,AS45839,False,,False,,,2026-08-23
101.99.94.36,dea_domains_probed.csv,AS45839,False,,False,,,2026-08-25
102.165.14.123,dea_domains_probed.csv,AS397423,False,,False,,,2026-08-23
102.212.246.115,dea_domains_probed.csv,AS329278,False,,False,,,2026-08-23
102.212.246.83,dea_domains_probed.csv,AS329278,False,,False,,,2026-08-23
