ASN,Name,Country,Source_List,Is_High_Value_Target,Target_Type
AS200651,"FLOKINET, IS",IS,Unknown,True,FlokiNET
AS39287,"MATERIALISM, RO",RO,Unknown,True,Njalla
AS45839,"SHINJIRU-MY-AS-AP Shinjiru Technology Sdn Bhd, MY",MY,Unknown,True,Shinjiru
AS50613,"THORDC-AS, IS",IS,Unknown,True,OrangeWebsite
AS51852,"PLI-AS, PA",PA,Unknown,True,PrivateAlps
AS101,"WASH-NSF-AS - University of Washington, US",US,Unknown,False,
AS10143,"EXETEL-AS-AP Exetel Pty Ltd, AU",AU,Unknown,False,
AS10200,"TDL2L-AS-AP The Digital Lab 2007 Limited, NZ",NZ,Unknown,False,
AS10207,"INTERVOLVE-ADELAIDE-AS-AP Intervolve Pty Ltd, AU",AU,Unknown,False,
AS1024,"CANAD112 - 12393239 Canada Inc, CA",CA,Unknown,False,
AS10242,"USINTERNET - US Internet Corp, US",US,Unknown,False,
AS10297,"ENET-2 - eNET Inc., US",US,Unknown,False,
AS10439,"CARINET - CariNet, Inc., US",US,Unknown,False,
AS10489,"ARMOUR-AS - Armour Cloud, LLC, US",US,Unknown,False,
AS10532,"RACKSPACE - Rackspace Hosting, US",US,Unknown,False,
AS10796,"TWC-10796-MIDWEST - Charter Communications Inc, US",US,Unknown,False,
AS10929,"ESTRUXTURE-QC-10929 - eStruxture Data Centers Inc., CA",CA,Unknown,False,
AS10961,"BGP-AS - Boston GigaPoP, US",US,Unknown,False,
AS10996,"CONCORDE - Concorde inc., CA",CA,Unknown,False,
AS1101,"IP-EEND-AS IP-EEND BV, NL",NL,Unknown,False,
AS1102,"SMEERBOEL-AS SMEERBOEL BV, NL",NL,Unknown,False,
AS1103,"SURFNET-NL SURFnet, The Netherlands, NL",NL,Unknown,False,
AS11230,"MHSFL - Managed Hosting Services, LLC, US",US,Unknown,False,
AS11232,"MIDCO-NET - Midcontinent Communications, US",US,Unknown,False,
AS11235,"ITRONHOSTINGAS - Itron-Hosting, US",US,Unknown,False,
AS11274,"ADHOST - TierPoint, LLC, US",US,Unknown,False,
AS1133,"UTWENTE-AS University Twente, NL",NL,Unknown,False,
AS11351,"TWC-11351-NORTHEAST - Charter Communications Inc, US",US,Unknown,False,
AS1136,"KPN KPN National, NL",NL,Unknown,False,
AS1140,"SIDN, NL",NL,Unknown,False,
AS11403,"NYINTERNET - NYI, US",US,Unknown,False,
AS11426,"TWC-11426-CAROLINAS - Charter Communications Inc, US",US,Unknown,False,
AS11427,"TWC-11427-TEXAS - Charter Communications Inc, US",US,Unknown,False,
AS1149,"SURFNET-AS Tijdelijk uitgeleend aan UTWENTE voor onderzoek, NL",NL,Unknown,False,
AS11492,"CABLEONE - CABLE ONE, INC., US",US,Unknown,False,
AS11508,"AS-VULTR2 - The Constant Company, LLC, US",US,Unknown,False,
AS11550,"SDL-20-AS - Smithville Digital, LLC, US",US,Unknown,False,
AS11572,"SS-ATL - PhoenixNAP LLC, US",US,Unknown,False,
AS11588,"LAMBDA-BB - Lambda, US",US,Unknown,False,
AS11796,"AIRSTREAMCOMM-NET - Airstream Communications, LLC, US",US,Unknown,False,
AS11831,"ESECUREDATA - eSecureData, CA",CA,Unknown,False,
AS11847,"OTT - GoNetSpeed, US",US,Unknown,False,
AS11878,"TZULO - tzulo, inc., US",US,Unknown,False,
AS1205,"JKU-LINZ-AS University Linz, AT",AT,Unknown,False,
AS1208,"DNIC-AS-01208 - United States Department of Defense DoD, US",US,Unknown,False,
AS12083,"WOW-INTERNET - WideOpenWest Finance LLC, US",US,Unknown,False,
AS12093,"UWATERLOO - University of Waterloo, CA",CA,Unknown,False,
AS121,"DNIC-AS-00121 - United States Department of Defense DoD, US",US,Unknown,False,
AS1216,"ORACLE-OCI-IAD1 - Oracle Corporation, US",US,Unknown,False,
AS12161,"DAO - dao Consulting, LLC, US",US,Unknown,False,
AS122,"UPMC-AS122 - UPMC, US",US,Unknown,False,
AS1221,"ASN-TELSTRA Telstra Limited, AU",AU,Unknown,False,
AS12312,"ECOTEL, DE",DE,Unknown,False,
AS12322,"PROXAD, FR",FR,Unknown,False,
AS12337,"NORIS-NETWORK IT Service Provider located in Nuernberg, Germany, DE",DE,Unknown,False,
AS12353,"VODAFONE-PT Vodafone Portugal, PT",PT,Unknown,False,
AS12360,"KTK KEVAG Telekom GmbH, DE",DE,Unknown,False,
AS1239,"COGENT-1239 - Cogent Communications, LLC, US",US,Unknown,False,
AS12392,"ASVOO VOO S.A., BE",BE,Unknown,False,
AS12417,"DHH-AS, HR",HR,Unknown,False,
AS12479,"UNI2-AS, ES",ES,Unknown,False,
AS1248,"HERE, NL",NL,Unknown,False,
AS12488,"KRYSTAL, GB",GB,Unknown,False,
AS1249,"FIVE-COLLEGES-AS - University of Massachusetts - AMHERST, US",US,Unknown,False,
AS12496,"IDNET IDNet, GB",GB,Unknown,False,
AS12508,"AS12508 Bratislava, Slovak Republic, SK",SK,Unknown,False,
AS1255,"SMITHCOLLEGE-AS - Smith College, US",US,Unknown,False,
AS12552,"GLOBALCONNECT-AS12552, SE",SE,Unknown,False,
AS1257,"TELE2, EU",EU,Unknown,False,
AS12570,"ITSELF Network and internet service provider., CZ",CZ,Unknown,False,
AS12576,"EE Ltd, GB",GB,Unknown,False,
AS12586,"ASGHOSTNET, DE",DE,Unknown,False,
AS12605,"LIWEST-AT Linz, Austria, AT",AT,Unknown,False,
AS12617,"SOLIDO-NET Sentia Danmark AS, DK",DK,Unknown,False,
AS12637,"SEEWEB Web hosting, colocation and cloud services, IT",IT,Unknown,False,
AS1267,"ASN-WINDTRE IUNET, IT",IT,Unknown,False,
AS127,"JPL-AS127 - Jet Propulsion Laboratory, US",US,Unknown,False,
AS1273,"CW Vodafone Group PLC, EU",EU,Unknown,False,
AS12731,"IPHH IPHH Internet Port Hamburg GmbH, DE",DE,Unknown,False,
AS12732,"GUTCON-NET Carrier51 GmbH, GutCon GmbH, DE",DE,Unknown,False,
AS12741,"AS-NETIA Warszawa 02-822, PL",PL,Unknown,False,
AS12759,"SOCO-AS Nordstrasse 102, DE",DE,Unknown,False,
AS12767,"PRAGONET-AS, CZ",CZ,Unknown,False,
AS12824,"HOMEPL-AS, PL",PL,Unknown,False,
AS12874,"FASTWEB, IT",IT,Unknown,False,
AS12876,"Online SAS, FR",FR,Unknown,False,
AS12989,"BLACKHOST AS12989.NET, CA",CA,Unknown,False,
AS13022,"STREAMS_GMBH, AT",AT,Unknown,False,
AS1303,"FR-IDRIS-ORSAY FR, EU",EU,Unknown,False,
AS13030,"INIT7, CH",CH,Unknown,False,
AS13036,"TMOBILE-, CZ",CZ,Unknown,False,
AS13037,"ZEN-AS Zen Internet - UK, GB",GB,Unknown,False,
AS13045,"HTP-AS, DE",DE,Unknown,False,
AS13046,"ASN-ISKON, HR",HR,Unknown,False,
AS13110,"INEA-AS, PL",PL,Unknown,False,
AS131199,"NEXEON-AS-AP Nexeon Technologies, Inc., US",US,Unknown,False,
AS1312,"VA-TECH-AS - Virginia Polytechnic Institute and State Univ., US",US,Unknown,False,
AS13124,"A1BG_RSD, BG",BG,Unknown,False,
AS1315,"IPFS - Imperial PFS, US",US,Unknown,False,
AS13156,"AS13156 Palmela, PT",PT,Unknown,False,
AS13188,"TRIOLAN, UA",UA,Unknown,False,
AS132070,"INTERVOLVE-MANAGED-AS-AP Intervolve Pty Ltd, AU",AU,Unknown,False,
AS132071,"INTERVOLVE-SYDNEY-AS-AP Intervolve Pty Ltd, AU",AU,Unknown,False,
AS13209,"ATOM-HOSTING, RO",RO,Unknown,False,
AS13213,"UK2NET-AS, GB",GB,Unknown,False,
AS132225,"CHINATELECOM-QINGHAI-5G-NETWORK China Telecom, CN",CN,Unknown,False,
AS13233,"SCHOENE-AS, DE",DE,Unknown,False,
AS132335,"LEAPSWITCH-IN-AS-AP LEAPSWITCH NETWORKS PRIVATE LIMITED, IN",IN,Unknown,False,
AS132425,"EXABYTES-AS-AP Exabytes Network Singapore Pte. Ltd., SG",SG,Unknown,False,
