ASN,Name,Country
AS29518,"BREDBAND2, SE",SE
AS109,"CISCOSYSTEMS, US",US
AS2021,"UNISYS-INT, US",US
AS21334,"ASN-VODAFONE-, HU",HU
AS12876,"Online SAS, FR",FR
AS20773,"GODADDY, DE",DE
AS27747,"Telecentro S.A., AR",AR
AS21064,"OLMAN-COM-AS OLMAN, Metropolitan Area Network commercial AS, PL",PL
AS2002,"KYN-GTS, US",US
AS1267,"ASN-WINDTRE IUNET, IT",IT
AS156,"NORTHEASTERN-GW-AS, US",US
AS48926,"PE3NY-AS, CZ",CZ
AS229,"MERIT-AS-6, US",US
AS39471,"DTKT, UA",UA
AS202662,"Hytron Network Services, HK",HK
AS870,"GONET-ASN-17, CA",CA
AS41809,"NETIA-AS, PL",PL
AS396362,"LEASEWEB-USA-NYC, US",US
AS20756,"NAMESHIELD, FR",FR
AS210083,"PRIVEX, BZ",BZ
AS39608,"LANETUA-AS, UA",UA
AS335,"DNIC-ASBLK-00306-00371, US",US
AS6056,"COLBY, US",US
AS34971,"PDDA-AS, IT",IT
AS19898,"FIBERLINK, US",US
AS20860,"IOMART-AS, GB",GB
AS2140,"KYN-GTS, US",US
AS98,"ROCKEFELLER-AS, US",US
AS49409,"IVERNORGE, NO",NO
AS4855,"PI-ID-AS-AP Pacific Link Indonesia, ID",ID
AS197648,"CL8ASN1, CY",CY
AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",SG
AS32244,"LIQUIDWEB, US",US
AS906,"DMIT, US",US
AS36007,"KAMATERA, US",US
AS2013,"PACIFIC-GAS, US",US
AS571,"DNIC-AS-00571, US",US
AS2011,"WELLSFARGO-2011, US",US
AS30798,"TNNET-AS TNNet Oy Main network, FI",FI
AS29169,"GANDI-AS Domain name registrar - www.gandi.net, FR",FR
AS49289,"MEDIA-VENETO Media Veneto s.r.l., IT",IT
AS982,"PACKETFRAME, US",US
AS29066,"VELIANET-AS velia.net Internetdienste GmbH, DE",DE
AS138062,"IDNIC-PAAS-AS-ID PT. Awan Kilat Semesta, ID",ID
AS307,"DNIC-ASBLK-00306-00371, US",US
AS260,"GTT-DXB, US",US
AS47583,"AS-HOSTINGER, CY",CY
AS57717,"FBX-AS, NL",NL
AS324,"DNIC-ASBLK-00306-00371, US",US
AS427,"AFCONC-BLOCK1-AS, US",US
AS566,"SSC-299-Z-566, CA",CA
AS50266,"ODIDO, NL",NL
AS7545,"TPG-INTERNET-AP TPG Telecom Limited, AU",AU
AS291,"ESNET-EAST, US",US
AS41436,"CLOUDWEBMANAGE-EU, US",US
AS37680,"COOL-IDEAS, ZA",ZA
AS719,"ELISA-AS ELISA OYJ, FI",FI
AS28685,"ASN-ROUTIT, NL",NL
AS4514,"PVSCHOOLS-ASN-01, US",US
AS14277,"GIGSTREEM, US",US
AS56067,"METRABYTE-TH 453 Ladplacout Jorakhaebua, TH",TH
AS264009,"INFIX TELECOM LTDA, BR",BR
AS258,"BRAGGSRI-EGP-AS, US",US
AS9,"CMU-ROUTER, US",US
AS59711,"HZ-EU-AS, BG",BG
AS6805,"TDDE-ASN1, DE",DE
AS56030,"VOYAGERNET-AS-AP Voyager Internet Ltd., NZ",NZ
AS52228,"Cable Tica, CR",CR
AS9145,"EWETEL, DE",DE
AS400846,"TAMPA-COLO-ASN-PRIMARY, US",US
AS5972,"DNIC-ASBLK-05800-06055, US",US
AS6319,"MARRIOT-ASN, US",US
AS51765,"CREANOVA-AS Oy Creanova Hosting Solutions Ltd., FI",FI
AS197225,"AIRNET, LT",LT
AS803,"SASKTEL, CA",CA
AS1311,"BARRA-NET-AS, US",US
AS54548,"PROFITBRICKS-USA, US",US
AS56655,"GIGAHOST, NO",NO
AS2514,"INFOSPHERE NTT PC Communications, Inc., JP",JP
AS50613,"THORDC-AS, IS",IS
AS29278,"RACKHOST-HU-AS RACKHOST Zrt., HU",HU
AS8772,"NLINELLC, UA",UA
AS6181,"FUSE-NET, US",US
AS861,"GONET-ASN-17, CA",CA
AS20278,"NEXEON, US",US
AS5026,"LVVWD, US",US
AS4470,"ASN-CITENET, CA",CA
