IP,ASN,Name,BGP_Prefix,Country,Registry
2.58.56.220,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",2.58.56.0/24,DE,
185.220.101.101,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a0b:7cc0:0001:35e4:c905:069e:8f8f:635a,,,,,
195.246.231.197,AS44925,"THE-1984-AS, IS",195.246.230.0/23,IS,
209.141.55.88,AS53667,"PONYNET - FranTech Solutions, US",209.141.32.0/19,US,
2a04:52c0:0101:046a:0000:0000:0000:0000,,,,,
23.191.200.16,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
192.42.116.201,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
2a0b:f4c2:0002:0000:0000:0000:0000:0060,,,,,
209.141.55.26,AS53667,"PONYNET - FranTech Solutions, US",209.141.32.0/19,US,
2a0b:f4c2:0001:0000:0000:0000:0000:0135,,,,,
185.132.53.47,AS211507,"LAIN we love lain, cats and the world wide web, DE",185.132.53.0/24,DE,
94.249.175.18,AS213850,NEXOSYSTEMS - Justin Harth,94.249.175.0/24,DE,
160.119.249.240,AS329184,Host-Africa-AS2,160.119.249.0/24,ZA,
2620:018c:0000:0192:0000:0000:00e0:0199,,,,,
37.187.5.192,AS16276,"OVH, FR",37.187.0.0/16,FR,
2620:018c:0000:0192:0000:0000:00e0:0156,,,,,
179.43.134.22,AS51852,"PLI-AS, PA",179.43.134.0/24,PA,
185.220.101.154,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.144,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a0e:97c0:03e3:0460:1337:b30b:1337:0010,,,,,
2a00:99a0:0000:1000:0000:0000:0000:0002,,,,,
2a12:a800:0011:0001:0124:0198:0131:0114,,,,,
107.189.14.4,AS53667,"PONYNET - FranTech Solutions, US",107.189.14.0/24,US,
2602:fba1:0b00:0000:0000:0000:0061:0001,,,,,
2a14:c380:0050:004e:0000:0000:0000:000b,,,,,
185.227.68.78,AS206804,"ESTNOC-GLOBAL, EE",185.227.68.0/24,US,
2a0b:f4c2:0001:0000:0000:0000:0000:0144,,,,,
23.129.64.191,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
157.245.206.140,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",157.245.192.0/20,US,
212.95.50.77,AS28753,"LEASEWEB-DE-FRA-10, DE",212.95.32.0/19,DE,
185.132.53.27,AS211507,"LAIN we love lain, cats and the world wide web, DE",185.132.53.0/24,DE,
2a06:1700:0000:0012:0000:0000:0000:0001,,,,,
195.133.88.211,AS215540,"GCS-AS, GB",195.133.88.0/24,CZ,
2a09:61c0:0000:0000:0000:0000:0000:0033,,,,,
83.217.9.73,AS215540,"GCS-AS, GB",83.217.9.0/24,RU,
2620:018c:0000:0192:0000:0000:00e0:0138,,,,,
91.208.75.156,AS6718,"NAV NAV Communications, RO",91.208.75.0/24,RO,
2a09:be40:28ff:0050:be24:11ff:fe7d:fe66,,,,,
2a11:6100:0000:0012:a236:9fff:fe9e:36ea,,,,,
2a0d:bbc7:0000:0000:f816:3eff:fe1c:869a,,,,,
45.154.98.33,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.154.98.0/24,BE,
62.171.137.169,AS51167,"CONTABO, DE",62.171.136.0/23,DE,
107.189.8.181,AS53667,"PONYNET - FranTech Solutions, US",107.189.8.0/22,US,
159.203.7.160,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",159.203.0.0/20,US,
88.80.26.2,AS33837,"PRQ-AS PRQ VPN Network, SE",88.80.16.0/20,SE,
159.203.24.145,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",159.203.16.0/20,US,
5.255.117.56,AS60404,"LITESERVER, NL",5.255.96.0/19,NL,
2a0a:51c1:000a:005f:0000:0000:0000:0001,,,,,
23.155.8.104,AS22296,VORSK - Vorsk LLC,23.155.8.0/24,US,
2620:018c:0000:0192:0000:0000:00e0:0221,,,,,
178.79.154.219,AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",178.79.128.0/18,US,
188.68.52.231,AS197540,"NETCUP-AS netcup GmbH, DE",188.68.52.0/22,DE,
216.9.225.157,AS44382,"WHITELABEL, US",216.9.225.0/24,US,
2a02:c204:2195:2012:0000:0000:0000:0001,,,,,
193.105.134.155,AS42237,"W1N, GB",193.105.134.0/24,GB,
45.61.185.172,AS53667,"PONYNET - FranTech Solutions, US",45.61.184.0/22,US,
213.111.150.59,AS6698,"VIRTUALSYSTEMS, UA",213.111.150.0/24,PL,
2a0e:97c0:03e3:0a0e:0000:0000:0000:0001,,,,,
23.129.64.203,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a12:a800:0002:0001:0045:0080:0158:0142,,,,,
2001:067c:0e60:0c0c:0192:0042:0116:0182,,,,,
107.189.13.253,AS53667,"PONYNET - FranTech Solutions, US",107.189.13.0/24,US,
2607:5300:0201:3100:0000:0000:0000:35c5,,,,,
2a0d:bbc7:0000:0000:f816:3eff:fe5d:4413,,,,,
185.220.101.149,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2620:018c:0000:0192:0000:0000:00e0:0179,,,,,
192.76.160.150,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
2001:067c:089c:0702:01ce:01ce:babe:0001,,,,,
23.191.200.15,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
93.99.104.40,AS16019,"VODAFONE-CZ-AS, CZ",93.99.0.0/17,CZ,
185.220.101.169,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2001:067c:0e60:0c0c:0192:0042:0116:0183,,,,,
2a04:52c0:7000:0002:0000:0000:0000:0153,,,,,
23.191.200.17,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
179.43.182.58,AS51852,"PLI-AS, PA",179.43.182.0/24,PA,
45.138.16.118,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.138.16.0/24,NL,
93.99.104.194,AS16019,"VODAFONE-CZ-AS, CZ",93.99.0.0/17,CZ,
2a09:61c0:0000:0000:0000:0000:0000:0023,,,,,
2620:018c:0000:0192:0000:0000:00e0:0176,,,,,
2001:067c:0e28:0001:0000:0000:0000:0103,,,,,
45.94.31.68,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.94.31.0/24,NL,
185.132.176.180,AS49981,"WORLDSTREAM, NL",185.132.176.0/22,NL,
2a12:a800:0009:0001:0045:0088:0186:0089,,,,,
64.190.76.4,AS214094,OSSERVATORIO-NESSUNO - Davide Silvetti trading as 'Association Osservatorio Nessuno ODV',64.190.76.0/24,IT,
185.130.47.58,AS210083,"PRIVEX, BZ",185.130.47.0/24,BZ,
23.129.64.150,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a03:e600:0100:0000:0000:0000:0000:0004,,,,,
2a12:a800:0002:0001:0185:0241:0208:0139,,,,,
143.110.247.195,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",143.110.240.0/20,US,
185.220.101.188,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a03:94e0:ffff:0185:0243:0218:0000:0233,,,,,
103.164.54.199,AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",103.164.54.0/23,SG,
23.236.186.22,AS55286,"SERVER-MANIA - B2 Net Solutions Inc., CA",23.236.186.0/24,CA,
2a0b:f4c0:016c:0007:0000:0000:0000:0001,,,,,
23.129.64.204,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
162.210.173.17,AS46841,"FORKNETWORKING - Fork Networking, LLC, US",162.210.172.0/22,US,
2a0b:f4c2:0000:0000:0000:0000:0000:0019,,,,,
2620:018c:0000:0192:0000:0000:00e0:0193,,,,,
185.220.100.247,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
82.153.138.184,AS214209,"INTERNET-MAGNATE, ZA",82.153.138.0/24,GB,
205.185.117.149,AS53667,"PONYNET - FranTech Solutions, US",205.185.112.0/20,US,
185.220.100.243,AS205100,"F3NETZE, DE",185.220.100.0/24,DE,
2602:fba1:0b00:0000:0000:0000:0060:0001,,,,,
45.66.35.33,AS61125,"SABOTAGE, US",45.66.35.0/24,NL,
23.191.200.9,AS401401,UNREDACTED-NOISENET - Unredacted Inc,23.191.200.0/24,US,
185.220.101.161,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.183,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
80.78.18.86,AS39287,"ABSTRACT, FI",80.78.16.0/20,FI,
2620:018c:0000:0192:0000:0000:00e0:0143,,,,,
93.95.231.14,AS44925,"THE-1984-AS, IS",93.95.224.0/21,IS,
2001:067c:0e28:0001:0000:0000:0000:0102,,,,,
2a0b:f4c0:016c:0010:0000:0000:0000:0001,,,,,
125.212.241.131,AS7552,"VIETEL-AS-AP Viettel Group, VN",125.212.128.0/17,VN,
185.220.101.1,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
185.241.208.136,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",185.241.208.0/24,NL,
220.135.36.173,AS3462,"HINET Data Communication Business Group, TW",220.135.0.0/16,TW,
23.129.64.133,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a0b:f4c2:0001:0000:0000:0000:0000:0179,,,,,
2a0e:97c0:03e3:00b6:0000:0000:0000:0001,,,,,
2605:6400:0030:f174:0042:0042:0042:0042,,,,,
185.220.101.53,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.135,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a0b:f4c2:0002:0000:0000:0000:0000:0040,,,,,
154.16.116.61,AS14670,"WHG-USE1, GB",154.16.116.0/24,ZA,
2a09:be40:28ff:0050:b436:f5ff:fef5:a154,,,,,
198.50.191.95,AS16276,"OVH, FR",198.50.128.0/17,CA,
2001:0620:20d0:0000:0000:0000:0000:0024,,,,,
46.165.194.56,AS28753,"LEASEWEB-DE-FRA-10, DE",46.165.192.0/18,DE,
2a12:a800:0002:0001:0185:0241:0208:0234,,,,,
185.112.144.11,AS44925,"THE-1984-AS, IS",185.112.144.0/22,IS,
2a0b:f4c2:0002:0000:0000:0000:0000:0046,,,,,
89.147.110.82,AS44925,"THE-1984-AS, IS",89.147.108.0/22,IS,
170.64.202.213,AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",170.64.192.0/19,US,
172.86.70.20,AS14956,"ROUTERHOSTING - RouterHosting LLC, US",172.86.70.0/24,US,
45.11.59.28,AS43641,"SOLLUTIUM-NL, PL",45.11.59.0/24,UA,
185.82.219.109,AS59729,"ITL-BG, US",185.82.216.0/22,US,
2a04:52c0:7000:0002:0000:0000:0000:0149,,,,,
2620:018c:0000:0192:0000:0000:00e0:0132,,,,,
45.38.20.240,AS215659,"MOEMOEKYUN, RO",45.38.20.0/24,US,
2600:3c04:0000:0000:f03c:95ff:fe41:d42c,,,,,
23.129.64.202,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2605:a142:2263:1906:0000:0000:0000:0001,,,,,
2a0b:f4c2:0000:0000:0000:0000:0000:0005,,,,,
107.189.10.175,AS53667,"PONYNET - FranTech Solutions, US",107.189.8.0/22,US,
2a00:1b88:0004:0000:0000:0000:0000:0002,,,,,
186.129.10.31,AS22927,Telefonica de Argentina,186.128.0.0/14,AR,
2c0f:06c0:0000:0011:0000:0000:0b00:b1e5,,,,,
2001:0bc8:6010:0201:ae1f:6bff:fe27:3004,,,,,
71.28.195.146,AS7029,"WINDSTREAM - Windstream Communications LLC, US",71.28.192.0/22,US,
2607:f1c0:f091:2d00:0000:0000:0000:0001,,,,,
2a06:9801:0017:0000:0000:0000:0000:0006,,,,,
2a03:e600:0100:0000:0000:0000:0000:0012,,,,,
2a10:c800:0001:9cc6:0000:0000:0000:0001,,,,,
2a04:52c0:1000:0253:0000:0000:0000:0253,,,,,
198.251.89.96,AS53667,"PONYNET - FranTech Solutions, US",198.251.89.0/24,US,
185.220.101.51,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
23.129.64.149,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
45.141.215.61,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",45.141.215.0/24,NL,
45.61.188.15,AS53667,"PONYNET - FranTech Solutions, US",45.61.188.0/24,US,
2a0b:f4c2:0004:0000:0000:0000:0000:0110,,,,,
2605:6400:0010:058f:8768:8283:1a62:bdc6,,,,,
8.211.148.167,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",8.211.128.0/19,SG,
144.126.133.74,AS40021,"CONTABO-40021 - Contabo Inc., US",144.126.128.0/20,US,
45.9.156.22,AS211619,"MAXKO, HR",45.9.156.0/24,BG,
94.142.241.194,AS8283,"COLOCLUE-AS Netwerkvereniging Coloclue, Amsterdam, Netherlands, NL",94.142.240.0/21,NL,
185.220.101.159,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
5.253.247.27,AS58087,"FLORIANKOLB, DE",5.253.247.0/24,DE,
2602:f6f6:0002:3637:0000:0000:0000:0001,,,,,
2a04:52c0:7000:0002:0000:0000:0000:0142,,,,,
2602:ff16:0003:0000:0001:03c0:0000:0001,,,,,
46.250.243.29,AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",46.250.240.0/21,GB,
82.68.49.227,AS13037,"ZEN-AS Zen Internet - UK, GB",82.68.0.0/15,GB,
178.175.148.209,AS43289,"TRABIA, MD",178.175.148.0/23,MD,
2a12:a800:0011:0001:0124:0198:0132:0237,,,,,
2a04:52c0:0115:df08:0000:0000:0000:0001,,,,,
171.25.193.234,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
107.189.31.52,AS53667,"PONYNET - FranTech Solutions, US",107.189.30.0/23,US,
2a0b:f4c2:0000:0000:0000:0000:0000:0007,,,,,
109.70.100.10,AS208323,"APPLIEDPRIVACY-AS, AT",109.70.100.0/24,AT,
193.46.217.136,AS400992,"ZHOUYISAT-COMMUNICATIONS - ZhouyiSat Communications, VI",193.46.217.0/24,ES,
2a01:05e0:0036:c0b9:0000:0000:0000:0001,,,,,
91.208.75.153,AS6718,"NAV NAV Communications, RO",91.208.75.0/24,RO,
124.198.132.52,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",124.198.132.0/24,NL,
23.129.64.143,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2001:067c:2044:1905:0000:0000:0000:0026,,,,,
185.220.101.109,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2605:6400:0030:f805:1e96:b223:fbe5:cfac,,,,,
2a0b:f4c2:0002:0000:0000:0000:0000:0041,,,,,
2001:067c:289c:0004:0000:0000:0000:0078,,,,,
107.189.20.102,AS14956,"ROUTERHOSTING - RouterHosting LLC, US",107.189.16.0/21,US,
2605:6400:0030:f05d:c272:5525:72b1:e64c,,,,,
45.66.35.34,AS61125,"SABOTAGE, US",45.66.35.0/24,NL,
124.198.131.114,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",124.198.131.0/24,NL,
78.153.140.44,AS202306,"HOSTGLOBALPLUS-AS, GB",78.153.140.0/24,RU,
2a0e:97c0:03e3:0460:1337:b04b:1337:0005,,,,,
190.136.91.185,AS7303,"Telecom Argentina S.A., AR",190.136.0.0/15,AR,
2001:067c:089c:0702:01ce:01ce:babe:0008,,,,,
2605:6400:0030:ebb6:0532:0acc:0065:0031,,,,,
2001:067c:289c:0002:0000:0000:0000:0036,,,,,
2a0b:f4c2:0002:0000:0000:0000:0000:0038,,,,,
2620:018c:0000:0192:0000:0000:00e0:0153,,,,,
185.246.128.161,AS42237,"W1N, GB",185.246.128.0/24,GB,
2803:6d90:0111:0000:0000:0000:0000:0067,,,,,
84.239.46.144,AS201308,"CASTLEGEM, RO",84.239.46.0/24,RO,
2605:6400:0030:f174:0042:0042:0042:0000,,,,,
176.121.81.51,AS59444,"ASAMSNET, PL",176.121.80.0/22,PL,
131.72.79.38,AS264811,AIR LINK COMMUNICATIONS,131.72.76.0/22,TT,
209.141.51.180,AS53667,"PONYNET - FranTech Solutions, US",209.141.32.0/19,US,
2a0b:f4c2:0000:0000:0000:0000:0000:0030,,,,,
2a0b:f4c2:0004:0000:0000:0000:0000:0096,,,,,
45.66.35.21,AS61125,"SABOTAGE, US",45.66.35.0/24,NL,
81.16.33.42,AS13022,"STREAMS_GMBH, AT",81.16.32.0/20,AT,
171.25.193.132,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
185.132.53.107,AS211507,"LAIN we love lain, cats and the world wide web, DE",185.132.53.0/24,DE,
192.42.116.175,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
24.190.36.122,AS6128,"CABLE-NET-1 - Cablevision Systems Corp., US",24.188.0.0/14,US,
2a03:4000:001e:0081:c835:7dff:fe90:3ed5,,,,,
192.76.160.145,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
2a0e:97c0:03e3:0460:1337:b02b:1337:0003,,,,,
2a0b:f4c2:0000:0000:0000:0000:0000:0010,,,,,
107.189.7.144,AS53667,"PONYNET - FranTech Solutions, US",107.189.0.0/21,US,
192.76.160.139,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
192.34.80.176,AS33083,"AXCELX-NET - AxcelX Technologies LLC, US",192.34.80.0/21,US,
124.198.131.62,AS210558,"028f45e8dd4f225cb46a7d8003745a3a7f55d3a0, DE",124.198.131.0/24,NL,
192.42.116.210,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
23.129.64.210,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
185.129.61.9,AS210731,"DOTSRC, DK",185.129.61.0/24,DK,
2620:018c:0000:0192:0000:0000:00e0:0151,,,,,
2001:4b20:0012:f001:0000:0000:0000:0106,,,,,
204.76.203.203,AS51396,"PFCLOUD Pfcloud UG, DE",204.76.203.0/24,NL,
82.197.182.161,AS13030,"INIT7, CH",82.197.176.0/20,CH,
2a0b:f4c2:0002:0000:0000:0000:0000:0059,,,,,
64.190.76.2,AS214094,OSSERVATORIO-NESSUNO - Davide Silvetti trading as 'Association Osservatorio Nessuno ODV',64.190.76.0/24,IT,
185.225.69.222,AS30836,"NET23-AS, HU",185.225.68.0/22,HU,
190.211.254.185,AS51852,"PLI-AS, PA",190.211.252.0/22,PA,
89.125.255.12,AS212477,"ROYALE-AS, NL",89.125.255.0/24,AE,
2602:fa5d:0000:0000:0000:0000:0000:038c,,,,,
107.189.2.108,AS53667,"PONYNET - FranTech Solutions, US",107.189.0.0/21,US,
77.81.247.72,AS43927,"HOSTERION, RO",77.81.240.0/21,RO,
185.220.101.100,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
2a12:a800:0002:0001:0045:0141:0215:0156,,,,,
190.211.254.97,AS51852,"PLI-AS, PA",190.211.252.0/22,PA,
2001:067c:0e60:0c0c:0192:0042:0116:0191,,,,,
45.90.4.235,AS197540,"NETCUP-AS netcup GmbH, DE",45.90.4.0/22,DE,
185.220.101.21,AS60729,"TORSERVERS-NET, DE",185.220.101.0/24,DE,
171.25.193.36,AS198093,"DFRI-AS Foreningen for digitala fri- och rattigheter, SE",171.25.193.0/24,SE,
2620:018c:0000:0192:0000:0000:00e0:0142,,,,,
2001:067c:089c:0702:01ce:01ce:babe:0010,,,,,
192.76.160.152,AS60404,"LITESERVER, NL",192.76.160.0/24,NL,
2620:018c:0000:0192:0000:0000:00e0:0133,,,,,
199.195.251.119,AS53667,"PONYNET - FranTech Solutions, US",199.195.248.0/21,US,
205.185.121.177,AS53667,"PONYNET - FranTech Solutions, US",205.185.112.0/20,US,
172.81.131.139,AS27176,"DATAWAGON - DataWagon LLC, US",172.81.131.0/24,US,
2a0b:f4c2:0001:0000:0000:0000:0000:0174,,,,,
185.93.89.96,AS213790,"LIMITEDNETWORK-AS, GB",185.93.89.0/24,IR,
2a0b:f4c2:0001:0000:0000:0000:0000:0162,,,,,
2a04:52c0:7000:0002:0000:0000:0000:0132,,,,,
109.228.160.190,AS8473,"BAHNHOF, SE",109.228.128.0/18,SE,
172.104.243.155,AS63949,"AKAMAI-LINODE-AP Akamai Connected Cloud, SG",172.104.224.0/19,US,
2a0b:f4c2:0002:0000:0000:0000:0000:0051,,,,,
178.170.114.117,AS21409,"IKOULA, FR",178.170.0.0/17,FR,
2602:fa59:0005:0915:0000:0000:0000:0001,,,,,
193.189.100.195,AS41281,"KEFF Interplanetary Communications Network, GB",193.189.100.0/24,GB,
2a02:0898:0169:0000:0000:0000:0000:0002,,,,,
45.148.10.111,AS48090,"DMZHOST, GB",45.148.10.0/24,RO,
2a00:16b0:0001:0243:0000:0000:7012:3117,,,,,
2a06:1700:0001:00f5:0000:0000:a788:07d8,,,,,
2a0b:f4c2:0001:0000:0000:0000:0000:0150,,,,,
57.129.91.235,AS16276,"OVH, FR",57.129.0.0/17,FR,
2a0b:f4c2:0001:0000:0000:0000:0000:0129,,,,,
69.163.77.166,AS36103,"CENTRALUTAH - Central Utah Telephone, Inc., US",69.163.77.0/24,US,
2a0b:f4c2:0000:0000:0000:0000:0000:0031,,,,,
2a04:52c0:7000:0002:0000:0000:0000:0130,,,,,
2620:018c:0000:0192:0000:0000:00e0:0225,,,,,
23.129.64.197,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
192.42.116.173,AS215125,CYBEROLOGY-AS - Church of Cyberology,192.42.116.0/24,NL,
2a0b:f4c2:0000:0000:0000:0000:0000:0009,,,,,
2a0b:f4c2:0001:0000:0000:0000:0000:0130,,,,,
162.220.14.78,AS26666,"INTERSERVER-LAX - Interserver, Inc, US",162.220.8.0/21,US,
23.129.64.136,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
23.129.64.195,AS396507,"EMERALD-ONION - Emerald Onion, US",23.129.64.0/24,US,
2a04:52c0:7000:0002:0000:0000:0000:0152,,,,,
2602:f6f6:0002:d31a:0000:0000:0000:0001,,,,,
193.239.232.102,AS41634,"SVEA, SE",193.239.232.0/24,SE,
138.226.236.24,AS205775,"NEONCORENETWORKS, US",138.226.236.0/24,GB,
2a04:52c0:7000:0002:0000:0000:0000:0143,,,,,
2a12:a800:0011:0001:0192:0159:0099:0038,,,,,
47.254.153.161,AS45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd., CN",47.254.128.0/19,US,
