domain,priority,reason,flame_tp_ids
002046.xyz,0,FLAME:TP-0001,TP-0001
0066bet32.info,0,FLAME:TP-0001,TP-0001
0066betapp.info,0,FLAME:TP-0001,TP-0001
035616.click,0,FLAME:TP-0001,TP-0001
0888vns.com,0,FLAME:TP-0010,TP-0010
099betvip.net,0,FLAME:TP-0001,TP-0001
0live.org,0,FLAME:TP-0010,TP-0010
0nce.net,0,FLAME:TP-0001,TP-0001
0nelce.com,0,FLAME:TP-0010,TP-0010
0nrg.com,0,FLAME:TP-0010,TP-0010
2mail2.ru,0,FLAME:T.0001,T.0001
3.emailfake.com,0,FLAME:TP-0006,TP-0006
301rankit.com,0,FLAME:TP-0004,TP-0004
3032.ru,0,FLAME:TP-0004,TP-0004
30minemail.com,0,FLAME:TP-0006,TP-0006
30rd.com,0,FLAME:TP-0004,TP-0004
3126.com,0,FLAME:TP-0005,TP-0005
314159.anonaddy.me,0,FLAME:TP-0006,TP-0006
31415926535.net,0,FLAME:TP-0004,TP-0004
3158.cd,0,FLAME:TP-0004,TP-0004
317923.xyz,0,FLAME:T.0002,T.0002
321-email.com,0,FLAME:T.0002,T.0002
321betapp.net,0,FLAME:TP-0007,TP-0007
321mail.store,0,FLAME:T.0002,T.0002
32aziino777.live,0,FLAME:TP-0001,TP-0001
334206.com,0,FLAME:T.0002,T.0002
365yahoo.com,0,FLAME:TP-0001,TP-0001
3gly.com,0,FLAME:TP-0006,TP-0006
3hackers.com,0,FLAME:TP-0002,TP-0002
3inthesame.com,0,FLAME:TP-0002,TP-0002
3kho.io,0,FLAME:TP-0006,TP-0006
3l6.com,0,FLAME:TP-0003,TP-0003
3littlemiracles.com,0,FLAME:TP-0002,TP-0002
3mail.rocks,0,FLAME:TP-0005,TP-0005
3rinter-tero.com,0,FLAME:TP-0005,TP-0005
3xk.xyz,0,FLAME:TP-0007,TP-0007
43.com,0,FP-0007: Typosquat Evasion Infrastructure (conf: 80),TP-0012
4385708.ru,0,FLAME:TP-0003,TP-0003
444gege.com,0,FLAME:TP-0003,TP-0003
