domain,priority,reason,flame_tp_ids,vt_malicious_count,vt_total_engines,vt_reputation,vt_last_analysis_date
0-00.usa.cc,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2025-06-12
0-30-24.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 80),TP-0001,0,91,0,2026-06-10
0-attorney.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,
0-mail.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2026-06-18
0-mailer.dynv6.net,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0079,0,91,0,2026-06-04
0.mail.mujur.id,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,12,91,0,2026-06-13
0.pbot.tk,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2023-09-06
0.teml.net,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2025-02-05
00-tv.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 80),TP-0001,0,91,0,2026-06-07
00.0.gmail.com.gmail.8.3.gmail.35.cad.creou.dev,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,13,91,0,2026-04-01
00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.00.gm.dnsabr.com,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2026-05-02
00.00.mewiwkslasqw.me,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2026-05-02
00.arts-3d.net,0,FP-0008: pickelhost/eye-mail ULA SPF Phishing Platform (conf: 75),TP-0001,0,91,0,2025-02-25
