ASN,Name,Country,Source,Registry,Alloc_Date,Service
AS11508,AS-VULTR2 - The Constant Company,,VPN/VPS,,,
AS11831,"ESECUREDATA - eSecureData, CA",CA,VPN/VPS,arin,2011-03-25,ESECUREDATA
AS11878,"TZULO - tzulo, inc., US",,VPN/VPS,,,TZULO
AS12417,"DHH-AS, HR",HR,VPN/VPS,ripencc,2012-09-10,DHH
AS12876,"Online SAS, FR",,VPN/VPS,,,Online
AS131199,"NEXEON-AS-AP Nexeon Technologies, Inc., US",,VPN/VPS,,,NEXEON-AS-AP
AS13213,"UK2NET-AS, GB",,VPN/VPS,,,UK2NET
AS133165,DIGITALOCEAN-AS-AP Digital Ocean,,VPN/VPS,,,
AS133480,"INT-5GN-AS-AP 5G NETWORK OPERATIONS PTY LTD, AU",,VPN/VPS,,,INT-5GN-AS-AP
AS133499,"HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd, NZ",,VPN/VPS,,,HOSTROYALETECHNOLOGIES-AS-AP
AS133752,"LEASEWEB-APAC-HKG-10 LEASEWEB HONG KONG LIMITED, HK",HK,VPN/VPS,apnic,2014-10-03,LEASEWEB-APAC-HKG-10
AS133795,"CHOOPALLC-AS-AP The Constant Company, LLC, JP",,VPN/VPS,,,CHOOPALLC-AS-AP
AS134450,"HOSTROYALETECHNOLOGIES-AS-AP HostRoyale Technologies Pvt Ltd, IN",,VPN/VPS,,,HOSTROYALETECHNOLOGIES-AS-AP
AS135085,"HOSTWINDSLLC-AS-AP Hostwinds LLC, US",US,VPN/VPS,apnic,2016-02-09,HOSTWINDSLLC-AS-AP
AS135340,"DIGITALOCEAN-AS-IN Digital Ocean, Inc., US",US,VPN/VPS,apnic,2016-04-13,DIGITALOCEAN-AS-IN
AS136557,"HOST-AS-AP Host Universal Pty Ltd, AU",,VPN/VPS,,,HOST-AS-AP
AS136787,"PACKETHUBSA-AS-AP PacketHub S.A., PA",,VPN/VPS,,,PACKETHUBSA-AS-AP
AS137409,"GSLNETWORKS-AS-AP GSL Networks Pty LTD, AU",,VPN/VPS,,,GSLNETWORKS-AS-AP
AS14061,"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",,VPN/VPS,,,DIGITALOCEAN-ASN
AS141039,PACKETHUBSA-AS-AP PacketHub S.A.,,VPN/VPS,,,
AS141995,"CAPL-AS-AP Contabo Asia Private Limited, SG",,VPN/VPS,,,CAPL-AS-AP
AS14586,NUCLEARFALLOUT-CHI - Nuclearfallout Enterprises,,VPN/VPS,,,
AS14618,"AMAZON-AES - Amazon.com, Inc., US",,VPN/VPS,,,AMAZON-AES
AS147049,"PACKETHUBSA-AS-AP PacketHub S.A., AU",,VPN/VPS,,,PACKETHUBSA-AS-AP
AS15169,"GOOGLE - Google LLC, US",,VPN/VPS,,,GOOGLE
AS16247,M247-UK - M247 UK Ltd,,VPN/VPS,,,
AS16276,"OVH, FR",FR,VPN/VPS,ripencc,2001-02-15,OVH
AS16509,"AMAZON-02 - Amazon.com, Inc., US",,VPN/VPS,,,AMAZON-02
AS16892,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS18779,"EGIHOSTING - EGIHosting, US",,VPN/VPS,,,EGIHOSTING
AS19318,"IS-AS-1 - Interserver, Inc, US",US,VPN/VPS,arin,2005-12-09,IS-AS-1
AS197706,"KEMINET A datacenter located in TiranaAlbania. Webhosting, Dedicated Servers, VPS, IPv4IPv6 leasing, AL",,VPN/VPS,,,KEMINET
AS199524,"GCORE, LU",,VPN/VPS,,,GCORE
AS200130,,,VPN/VPS,,,
AS200698,GLOBALHOST-BOSNIA-AS - Globalhost d.o.o.,,VPN/VPS,,,
AS201229,"NETCON, AT",,VPN/VPS,,,NETCON
AS201682,"LIQUID-WEB-BV, US",,VPN/VPS,,,LIQUID-WEB-BV
AS202018,"SERVINET, ES",,VPN/VPS,,,SERVINET
AS202109,"RBHOSTING, UA",,VPN/VPS,,,RBHOSTING
AS20278,"NEXEON - Nexeon Technologies, Inc., US",,VPN/VPS,,,NEXEON
AS203020,"HOSTROYALE, IN",,VPN/VPS,,,HOSTROYALE
AS204287,"HOSTROYALE_TECHNOLOGIES, IN",,VPN/VPS,,,HOSTROYALE_TECHNOLOGIES
AS204548,"CLOUDWEBMANAGE-IL-FR, US",,VPN/VPS,,,CLOUDWEBMANAGE-IL-FR
AS20473,"AS-VULTR - The Constant Company, LLC, US",,VPN/VPS,,,VULTR
AS204915,"AWEX, CY",,VPN/VPS,,,AWEX
AS205053,"AWEB-ASN, GR",,VPN/VPS,,,AWEB-ASN
AS205119,"TELEKS-, MK",,VPN/VPS,,,TELEKS-
AS205301,"LEXISTARALLIANCELTD Allocated to Lexistar Alliance LTD, MD",,VPN/VPS,,,LEXISTARALLIANCELTD
AS206446,"CLOUDLEASE, IL",IL,VPN/VPS,ripencc,2017-01-18,CLOUDLEASE
AS206804,"ESTNOC-GLOBAL, EE",,VPN/VPS,,,ESTNOC-GLOBAL
AS207137,"PACKETHUBSA, PA",,VPN/VPS,,,PACKETHUBSA
AS207990,"HR-CUSTOMER, IN",,VPN/VPS,,,HR-CUSTOMER
AS209103,"PROTONVPN, CH",,VPN/VPS,,,PROTONVPN
AS210329,"CLOUDWEBMANAGE-UK-1, US",,VPN/VPS,,,CLOUDWEBMANAGE-UK-1
AS210632,"NOVARA-AS Novara Network, DE",,VPN/VPS,,,NOVARA
AS212238,"CDNEXT, GB",,VPN/VPS,,,CDNEXT
AS212317,"HETZNER-CLOUD3-AS, DE",,VPN/VPS,,,HETZNER-CLOUD3
AS212477,"ROYALE-AS, NL",,VPN/VPS,,,ROYALE
AS212513,"OSNET-TELEKOM, TR",,VPN/VPS,,,OSNET-TELEKOM
AS213230,"HETZNER-CLOUD2-AS, DE",,VPN/VPS,,,HETZNER-CLOUD2
AS213250,"ITP-SOLUTIONS, DE",,VPN/VPS,,,ITP-SOLUTIONS
AS213277,"ALOJAR, PT",,VPN/VPS,,,ALOJAR
AS214505,"NUCLEARFALLOUT-FRA, US",,VPN/VPS,,,NUCLEARFALLOUT-FRA
AS21773,"AS-PUH - Hostwinds LLC., US",,VPN/VPS,,,PUH
AS22558,"VPSDATACENTER - Liquid Web, L.L.C, US",,VPN/VPS,,,VPSDATACENTER
AS226111,,,VPN/VPS,,,
AS22612,"NAMECHEAP-NET - Namecheap, Inc., US",,VPN/VPS,,,NAMECHEAP-NET
AS23352,"SERVERCENTRAL - DEFT.COM, US",,VPN/VPS,,,SERVERCENTRAL
AS23959,"OWL-AS-AP Owl Limited, VU",,VPN/VPS,,,OWL-AS-AP
AS24940,"HETZNER-AS, DE",,VPN/VPS,,,HETZNER
AS25369,"BANDWIDTH-AS, GB",,VPN/VPS,,,BANDWIDTH
AS262287,"Latitude.sh LTDA, BR",,VPN/VPS,,,Latitude.sh
AS263093,Hostgator Brasil Ltda,,VPN/VPS,,,
AS26347,"DREAMHOST-AS - New Dream Network, LLC, US",US,VPN/VPS,arin,2002-08-28,DREAMHOST
AS263702,GRUPO ZGH SPA,,VPN/VPS,,,
AS26496,"AS-26496-GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,26496-GO-DADDY-COM-LLC
AS268581,"QNAX LTDA, BR",,VPN/VPS,,,QNAX
AS28110,"NAVEGALO S.A., CR",CR,VPN/VPS,lacnic,2010-01-11,NAVEGALO
AS29447,"TIF-AS Iliad Italia S.p.A, FR",,VPN/VPS,,,TIF
AS30058,"FDCSERVERS - FDCservers.net, US",US,VPN/VPS,arin,2003-07-10,FDCSERVERS
AS30083,"AS-30083-US-VELIA-NET - velia.net, DE",,VPN/VPS,,,30083-US-VELIA-NET
AS30736,ASERGO-AS - Asergo Holding ApS,,VPN/VPS,,,
AS3214,"XTOM xTom GmbH, DE",,VPN/VPS,,,XTOM
AS32244,"LIQUIDWEB - Liquid Web, L.L.C, US",US,VPN/VPS,arin,2004-03-26,LIQUIDWEB
AS32374,NUCLEARFALLOUT-LAX - Nuclearfallout Enterprises,,VPN/VPS,,,
AS32751,"NUCLEARFALLOUT-SEA - Nuclearfallout Enterprises, Inc., US",,VPN/VPS,,,NUCLEARFALLOUT-SEA
AS35432,"CABLENET-AS, CY",,VPN/VPS,,,CABLENET
AS35540,"OVH-TELECOM, FR",,VPN/VPS,,,OVH-TELECOM
AS35672,"LOURO, IN",,VPN/VPS,,,LOURO
AS35913,"DEDIPATH-LLC - DediPath, US",US,VPN/VPS,arin,2018-01-09,DEDIPATH-LLC
AS36007,"KAMATERA - Kamatera, Inc., US",,VPN/VPS,,,KAMATERA
AS36352,"AS-COLOCROSSING - HostPapa, US",,VPN/VPS,,,COLOCROSSING
AS36666,"GTCOMM - GloboTech Communications, CA",,VPN/VPS,,,GTCOMM
AS37518,"FIBERGRID, SC",,VPN/VPS,,,FIBERGRID
AS38421,MIRAEASSETUY-AS-KR Mirae Asset Investment Management Co.,,VPN/VPS,,,
AS38731,"VTDC-AS-VN Vietel - CHT Compamy Ltd, VN",,VPN/VPS,,,VTDC-AS-VN
AS38895,"AMAZON-AS-AP Amazon.com Tech Telecom, JP",JP,VPN/VPS,apnic,2008-02-06,AMAZON-AS-AP
AS393406,"DIGITALOCEAN-AS393406 - DigitalOcean, LLC, US",,VPN/VPS,,,DIGITALOCEAN-AS393406
AS393458,"NUCLEARFALLOUT-ATL - Nuclearfallout Enterprises, Inc., US",,VPN/VPS,,,NUCLEARFALLOUT-ATL
AS39351,"ESAB-AS, SE",,VPN/VPS,,,ESAB
AS394362,DIGITALOCEAN-AS394362 - DigitalOcean,,VPN/VPS,,,
AS39486,"HOSTROYALE, IN",,VPN/VPS,,,HOSTROYALE
AS396356,"LATITUDE-SH - Latitude.sh, US",,VPN/VPS,,,LATITUDE-SH
AS39690,"HOSTING, MD",,VPN/VPS,,,HOSTING
AS396931,"HOSTROYALE-TECHNOLOGIES-02 - HostRoyale LLC, US",,VPN/VPS,,,HOSTROYALE-TECHNOLOGIES-02
AS396948,"CLOUDWEBMANAGE-SC - Kamatera, Inc., US",,VPN/VPS,,,CLOUDWEBMANAGE-SC
AS396949,"CLOUDWEBMANAGE-TX - Kamatera, Inc., US",,VPN/VPS,,,CLOUDWEBMANAGE-TX
AS396982,"GOOGLE-CLOUD-PLATFORM - Google LLC, US",US,VPN/VPS,arin,2018-08-15,GOOGLE-CLOUD-PLATFORM
AS397513,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397514,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS397515,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397516,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397517,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397518,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397519,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397520,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS397521,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2019-04-25,GO-DADDY-COM-LLC
AS397522,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS39798,"MIVOCLOUD, MD",,VPN/VPS,,,MIVOCLOUD
AS398101,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398102,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398103,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398104,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398105,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398106,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398107,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398108,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2019-10-30,GO-DADDY-COM-LLC
AS398109,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398110,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS39845,LV-2CLOUD-ASN16 - 2 Cloud Ltd.,,VPN/VPS,,,
AS398785,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398786,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398787,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2020-09-02,GO-DADDY-COM-LLC
AS398788,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398789,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398790,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",US,VPN/VPS,arin,2020-09-02,GO-DADDY-COM-LLC
AS398791,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS398792,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS398793,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS398794,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS40021,"CONTABO-40021 - Contabo Inc., US",US,VPN/VPS,arin,2023-05-16,CONTABO-40021
AS400475,"NUCLEARFALLOUT-DAL - Nuclearfallout Enterprises, Inc., US",US,VPN/VPS,arin,2022-02-22,NUCLEARFALLOUT-DAL
AS400746,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400747,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS400748,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400749,GO-DADDY-COM-LLC - GoDaddy.com,,VPN/VPS,,,
AS400750,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
AS400751,"GO-DADDY-COM-LLC - GoDaddy.com, LLC, US",,VPN/VPS,,,GO-DADDY-COM-LLC
