provider,confidence,score_prehire,tier_prehire,score_posthire,tier_posthire,indicator_id
astrill,confirmed,25,anchor,30,anchor,VPN-001
astrill,medium,20,strong,20,strong,VPN-002
nordvpn,confirmed,15,strong,25,anchor,VPN-003
nordvpn,medium,10,contextual,15,strong,VPN-004
torguard,confirmed,15,strong,25,anchor,VPN-005
torguard,medium,10,contextual,15,strong,VPN-006
mullvad,confirmed,8,contextual,8,contextual,VPN-007
mullvad,medium,5,contextual,5,contextual,VPN-008
protonvpn,confirmed,8,contextual,8,contextual,VPN-009
protonvpn,medium,5,contextual,5,contextual,VPN-010
pia,confirmed,8,contextual,8,contextual,VPN-011
pia,medium,5,contextual,5,contextual,VPN-012
surfshark,confirmed,5,contextual,5,contextual,VPN-013
surfshark,medium,5,contextual,5,contextual,VPN-014
cyberghost,confirmed,5,contextual,5,contextual,VPN-015
cyberghost,medium,5,contextual,5,contextual,VPN-016
windscribe,confirmed,5,contextual,5,contextual,VPN-017
windscribe,medium,5,contextual,5,contextual,VPN-018
urbanvpn,high,10,contextual,15,strong,VPN-019
urbanvpn,medium,8,contextual,10,contextual,VPN-020
